"edge","edge_name","coef","pos_rank","neg_rank"
"x0_66","SFG_L -- dorsal_ACC_L",-0.028391276886864585,"101","101"
"x40_185","MTG_L_pole -- PSMG_L",-0.02837300382653006,"101","101"
"x26_56","SPG_L -- Cu_L",-0.028318301997783558,"101","101"
"x48_52","FuG_L -- MOG_L",-0.026452766135994798,"101","101"
"x0_10","SFG_L -- IFG_opercularis_L",-0.026064837223194588,"101","101"
"x36_185","STG_L_pole -- PSMG_L",-0.026057196926661176,"101","101"
"x56_183","Cu_L -- PSTG_L",-0.025369289465067536,"101","101"
"x76_82","Caud_L -- Thal_L",-0.024603231345854515,"101","101"
"x12_54","IFG_orbitalis_L -- IOG_L",-0.024264014992956873,"101","101"
"x40_183","MTG_L_pole -- PSTG_L",-0.0242455394356102,"101","101"
"x22_185","PoCG_L -- PSMG_L",-0.023736512512411965,"101","101"
"x12_82","IFG_orbitalis_L -- Thal_L",-0.02360430176026322,"101","101"
"x8_20","MFG_DPFC_L -- RG_L",-0.023316766953934327,"101","101"
"x70_78","Ins_L -- Put_L",-0.022423390321317,"101","101"
"x44_68","PHG_L -- PCC_L",-0.02202573331004885,"101","101"
"x12_38","IFG_orbitalis_L -- MTG_L",-0.021412398286420328,"101","101"
"x2_80","SFG_PFC_L -- GP_L",-0.021412246587407018,"101","101"
"x36_38","STG_L_pole -- MTG_L",-0.021356170816974964,"101","101"
"x12_36","IFG_orbitalis_L -- STG_L_pole",-0.021275689942410764,"101","101"
"x10_12","IFG_opercularis_L -- IFG_orbitalis_L",-0.02054115781410603,"101","101"
"x30_34","AG_L -- STG_L",-0.02036891909712612,"101","101"
"x12_14","IFG_orbitalis_L -- IFG_triangularis_L",-0.020140019816815326,"101","101"
"x78_187","Put_L -- PSIG_L",-0.020094172334081953,"101","101"
"x22_183","PoCG_L -- PSTG_L",-0.019917524718996032,"101","101"
"x30_32","AG_L -- PrCu_L",-0.019818401018976438,"101","101"
"x0_76","SFG_L -- Caud_L",-0.019778833024620586,"101","101"
"x40_187","MTG_L_pole -- PSIG_L",-0.01968560742079411,"101","101"
"x12_76","IFG_orbitalis_L -- Caud_L",-0.01930994492713151,"101","101"
"x32_58","PrCu_L -- LG_L",-0.01892778869229089,"101","101"
"x8_34","MFG_DPFC_L -- STG_L",-0.018845856260456473,"101","101"
"x10_70","IFG_opercularis_L -- Ins_L",-0.018826710592204993,"101","101"
"x36_40","STG_L_pole -- MTG_L_pole",-0.018535645575601282,"101","101"
"x20_34","RG_L -- STG_L",-0.018420645888452193,"101","101"
"x54_82","IOG_L -- Thal_L",-0.01816437171418375,"101","101"
"x14_183","IFG_triangularis_L -- PSTG_L",-0.017916202242116475,"101","101"
"x32_44","PrCu_L -- PHG_L",-0.017271348354009432,"101","101"
"x36_187","STG_L_pole -- PSIG_L",-0.017076787058985163,"101","101"
"x52_78","MOG_L -- Put_L",-0.01691113281396894,"101","101"
"x36_183","STG_L_pole -- PSTG_L",-0.016874409182039335,"101","101"
"x14_185","IFG_triangularis_L -- PSMG_L",-0.016620094587890183,"101","101"
"x74_78","Hippo_L -- Put_L",-0.016506306587393455,"101","101"
"x8_14","MFG_DPFC_L -- IFG_triangularis_L",-0.016455240323879544,"101","101"
"x14_24","IFG_triangularis_L -- PrCG_L",-0.01542730190798148,"101","101"
"x8_76","MFG_DPFC_L -- Caud_L",-0.014815102587376068,"101","101"
"x14_30","IFG_triangularis_L -- AG_L",-0.014599890357966968,"101","101"
"x183_187","PSTG_L -- PSIG_L",-0.014371771274177174,"101","101"
"x12_52","IFG_orbitalis_L -- MOG_L",-0.013905157338312806,"101","101"
"x34_44","STG_L -- PHG_L",-0.01386441153216766,"101","101"
"x36_42","STG_L_pole -- ITG_L",-0.013833971512849083,"101","101"
"x32_54","PrCu_L -- IOG_L",-0.013505764583412553,"101","101"
"x12_187","IFG_orbitalis_L -- PSIG_L",-0.013301630820380604,"101","101"
"x14_58","IFG_triangularis_L -- LG_L",-0.013028812648624315,"101","101"
"x8_181","MFG_DPFC_L -- PIns_L",-0.012837080897662594,"101","101"
"x34_72","STG_L -- Amyg_L",-0.012828414439534115,"101","101"
"x82_187","Thal_L -- PSIG_L",-0.012559152893653487,"101","101"
"x16_76","LFOG_L -- Caud_L",-0.012215043627071388,"101","101"
"x14_82","IFG_triangularis_L -- Thal_L",-0.012080220484499705,"101","101"
"x18_78","MFOG_L -- Put_L",-0.011892507776914855,"101","101"
"x42_183","ITG_L -- PSTG_L",-0.01178429075872459,"101","101"
"x32_52","PrCu_L -- MOG_L",-0.011656228624261432,"101","101"
"x12_74","IFG_orbitalis_L -- Hippo_L",-0.011510042303140745,"101","101"
"x54_74","IOG_L -- Hippo_L",-0.01142447937167322,"101","101"
"x8_38","MFG_DPFC_L -- MTG_L",-0.011420031370099027,"101","101"
"x32_34","PrCu_L -- STG_L",-0.011094371533683879,"101","101"
"x72_78","Amyg_L -- Put_L",-0.011072836527855954,"101","101"
"x2_4","SFG_PFC_L -- SFG_pole_L",-0.010698345030756498,"101","101"
"x22_70","PoCG_L -- Ins_L",-0.010545253882453707,"101","101"
"x8_36","MFG_DPFC_L -- STG_L_pole",-0.01053267864015691,"101","101"
"x6_183","MFG_L -- PSTG_L",-0.010257687733016215,"101","101"
"x12_56","IFG_orbitalis_L -- Cu_L",-0.009980591771872853,"101","101"
"x22_52","PoCG_L -- MOG_L",-0.009446881868003864,"101","101"
"x12_50","IFG_orbitalis_L -- SOG_L",-0.009344400485272453,"101","101"
"x12_20","IFG_orbitalis_L -- RG_L",-0.00920858626319332,"101","101"
"x16_80","LFOG_L -- GP_L",-0.009151059130710237,"101","101"
"x20_42","RG_L -- ITG_L",-0.009134512185759962,"101","101"
"x8_10","MFG_DPFC_L -- IFG_opercularis_L",-0.008857036545258856,"101","101"
"x38_40","MTG_L -- MTG_L_pole",-0.008631013839598895,"101","101"
"x14_28","IFG_triangularis_L -- SMG_L",-0.00855398970015139,"101","101"
"x26_54","SPG_L -- IOG_L",-0.008420539027559407,"101","101"
"x78_80","Put_L -- GP_L",-0.008309492505465386,"101","101"
"x2_34","SFG_PFC_L -- STG_L",-0.00809316445250027,"101","101"
"x58_72","LG_L -- Amyg_L",-0.008084438325369701,"101","101"
"x6_22","MFG_L -- PoCG_L",-0.007948014727081468,"101","101"
"x6_28","MFG_L -- SMG_L",-0.007896551183548461,"101","101"
"x34_46","STG_L -- ENT_L",-0.00773387075864304,"101","101"
"x181_183","PIns_L -- PSTG_L",-0.007589079681853055,"101","101"
"x34_52","STG_L -- MOG_L",-0.007501855436472842,"101","101"
"x4_20","SFG_pole_L -- RG_L",-0.007485681356934201,"101","101"
"x6_12","MFG_L -- IFG_orbitalis_L",-0.007481942246815272,"101","101"
"x8_70","MFG_DPFC_L -- Ins_L",-0.007359850177294209,"101","101"
"x38_70","MTG_L -- Ins_L",-0.007072430193909485,"101","101"
"x14_50","IFG_triangularis_L -- SOG_L",-0.0070303646689239985,"101","101"
"x4_76","SFG_pole_L -- Caud_L",-0.006685461296243986,"101","101"
"x60_76","rostral_ACC_L -- Caud_L",-0.0066166044682366525,"101","101"
"x185_187","PSMG_L -- PSIG_L",-0.006597063319859474,"101","101"
"x14_56","IFG_triangularis_L -- Cu_L",-0.006587437674669543,"101","101"
"x22_26","PoCG_L -- SPG_L",-0.0065857478345996414,"101","101"
"x24_76","PrCG_L -- Caud_L",-0.006397452981931414,"101","101"
"x66_76","dorsal_ACC_L -- Caud_L",-0.006385991673469163,"101","101"
"x18_64","MFOG_L -- subgenual_ACC_L",-0.006344456330685413,"101","101"
"x28_185","SMG_L -- PSMG_L",-0.006320771387971284,"101","101"
"x26_58","SPG_L -- LG_L",-0.006206885272477739,"101","101"
"x6_30","MFG_L -- AG_L",-0.005995646585687928,"101","101"
"x14_76","IFG_triangularis_L -- Caud_L",-0.005968371565578511,"101","101"
"x10_22","IFG_opercularis_L -- PoCG_L",-0.005899828992561765,"101","101"
"x36_76","STG_L_pole -- Caud_L",-0.005806974502495653,"101","101"
"x36_181","STG_L_pole -- PIns_L",-0.005729696253364216,"101","101"
"x32_48","PrCu_L -- FuG_L",-0.005728460762267779,"101","101"
"x52_74","MOG_L -- Hippo_L",-0.005724721512702304,"101","101"
"x14_34","IFG_triangularis_L -- STG_L",-0.005711045470176402,"101","101"
"x16_36","LFOG_L -- STG_L_pole",-0.00567835246618605,"101","101"
"x8_82","MFG_DPFC_L -- Thal_L",-0.0056551802808320365,"101","101"
"x66_185","dorsal_ACC_L -- PSMG_L",-0.005644501485779485,"101","101"
"x30_66","AG_L -- dorsal_ACC_L",-0.005589087835241408,"101","101"
"x34_76","STG_L -- Caud_L",-0.00546183338862786,"101","101"
"x6_14","MFG_L -- IFG_triangularis_L",-0.005455073400235511,"101","101"
"x2_36","SFG_PFC_L -- STG_L_pole",-0.005314208312672015,"101","101"
"x8_80","MFG_DPFC_L -- GP_L",-0.005131230713910663,"101","101"
"x2_181","SFG_PFC_L -- PIns_L",-0.005128484578917576,"101","101"
