"lesion","lesion_name","mean","std","right_p","right_p_adj","both_p","both_p_adj","left_p","left_p_adj","t"
"x38","MTG_L","-1.0902681920847783","3.820982604004282",1.0,"1.0",9.168823787089557e-19,"1.1770787294236594e-18",4.584411893544779e-19,"1.1770787294236594e-18",-9.023152169833846
"x78","Put_L","0.11876621732175478","2.9298757799632313",0.10009297048848291,"0.2113073821423528",0.20018594097696582,"0.23192273649770428",0.899907029511517,"1.0",1.2818692122981445
"x170","LV_frontal_L","0.07234453024657701","1.0013809859333098",0.011273225098948916,"0.02433991782727607",0.022546450197897833,"0.026443367516053015",0.9887267749010511,"1.0",2.2845799455729034
"x76","Caud_L","0.123651848445623","1.6337790588680505",0.008439382872459971,"0.01864514820659761",0.016878765744919942,"0.02004353432209243",0.99156061712754,"1.0",2.3933559183273876
"x174","LV_temporal_L","0.1920964148710743","1.835648033227418",0.0004844390726744654,"0.0010957550453351002",0.0009688781453489308,"0.0011651066304828913",0.9995155609273255,"1.0",3.3092520480475827
"x110","ML_L","0.0042914322133486855","0.01964893744785735",4.4115411140960755e-12,"1.0221863557051882e-11",8.823082228192151e-12,"1.0746061688182747e-11",0.9999999999955884,"1.0",6.9065822283837175
"x171","LV_body_L","0.3307591617059873","1.347494179177092",1.0291350749184962e-14,"2.4441958029314285e-14",2.0582701498369925e-14,"2.5394242108378482e-14",0.9999999999999898,"1.0",7.762202791834114
"x136","EC_L","0.7940822397017824","3.1754671328190542",3.453355835283059e-15,"8.41202062440745e-15",6.906711670566118e-15,"8.633389588207647e-15",0.9999999999999966,"1.0",7.9078397662902455
"x32","PrCu_L","0.5349083001302186","2.0356687534571054",1.5551130245983505e-16,"3.887782561495876e-16",3.110226049196701e-16,"3.939619662315821e-16",0.9999999999999998,"1.0",8.309448994920068
"x18","MFOG_L","0.22988672992379877","0.7912718508769291",1.1346305141991244e-19,"2.9132405094301844e-19",2.269261028398249e-19,"2.9531479136689544e-19",1.0,"1.0",9.187306102214162
"x66","dorsal_ACC_L","0.7165128227383424","1.8978024270219243",4.124484135983818e-31,"1.0884055358846186e-30",8.248968271967636e-31,"1.1696298296073514e-30",1.0,"1.0",11.93913792240856
"x20","RG_L","0.0945848762745237","0.2409117027113236",2.554433944603913e-33,"6.933463563924908e-33",5.108867889207826e-33,"7.353673476890053e-33",1.0,"1.0",12.415488241811245
"x68","PCC_L","0.48310151233223797","1.0425592034762008",1.7404438766177255e-44,"4.863004949373057e-44",3.480887753235451e-44,"5.248957723132823e-44",1.0,"1.0",14.653375222701861
"x154","SLF_L","1.4227922785673082","2.7625281917371827",2.2614899265357685e-53,"6.5103497885120615e-53",4.522979853071537e-53,"6.930372355512839e-53",1.0,"1.0",16.28676315785996
"x124","BCC_L","1.1450596504119144","2.0474440918139902",2.104569203931042e-61,"6.247939824170281e-61",4.209138407862084e-61,"6.664469145781632e-61",1.0,"1.0",17.685447756718414
"x126","SCC_L","0.6452851327068735","0.998171682743251",3.55738498284066e-78,"1.0901663657092345e-77",7.11476996568132e-78,"1.2069699048923667e-77",1.0,"1.0",20.443084039307575
"x62","subcallosal_ACC_L","0.02563313219412003","0.03686803208461504",5.366856882302715e-88,"1.6995046793958594e-87",1.073371376460543e-87,"1.8540051047954832e-87",1.0,"1.0",21.986278278040896
"x134","RLIC_L","1.9155039919712706","2.6345891022456835",1.5794373084113403e-94,"5.174018768933702e-94",3.1588746168226807e-94,"5.557279418484346e-94",1.0,"1.0",22.99165162647527
"x4","SFG_pole_L","0.06135935186341929","0.07652488935366054",3.301778988975704e-110,"1.1202464426881852e-109",6.603557977951408e-110,"1.2064192459718918e-109",1.0,"1.0",25.355842952397577
"x82","Thal_L","1.7776582969227532","2.0653926655489574",8.738584292774243e-123,"3.0746870659761227e-122",1.7477168585548487e-122,"3.3884306441369515e-122",1.0,"1.0",27.2173384438628
"x30","AG_L","3.2157815273711385","3.393261828576573",1.3695798317762892e-141,"5.0042340007210564e-141",2.7391596635525783e-141,"5.421253500781145e-141",1.0,"1.0",29.968786959931528
"x144","Fx_L","0.3755645435515754","0.38686343516264604",1.3258969939084589e-146,"5.038408576852144e-146",2.6517939878169177e-146,"5.360009124310792e-146",1.0,"1.0",30.69918886299428
"x173","LV_occipital_L","2.597424643813657","2.502046463817077",3.151558105144801e-161,"1.2474917499531503e-160",6.303116210289602e-161,"1.3017305216902438e-160",1.0,"1.0",32.828238979111305
"x122","GCC_L","1.299153262455779","1.2362751226952104",5.412913866833498e-164,"2.2357687710834012e-163",1.0825827733666996e-163,"2.2854525215519214e-163",1.0,"1.0",33.231141382528875
"x88","NucAccumbens_L","0.10993650528251364","0.10183140277305336",3.1968952612876677e-170,"1.380477499192402e-169",6.3937905225753354e-170,"1.380477499192402e-169",1.0,"1.0",34.139739336269955
"x80","GP_L","2.733599217437687","2.5197920562337153",2.323925447535113e-171,"1.0512996072182654e-170",4.647850895070226e-171,"1.026850779143422e-170",1.0,"1.0",34.30600440132183
"x0","SFG_L","3.625145753575372","2.9808289262987575",1.3790117106540112e-199,"6.550305625606553e-199",2.7580234213080223e-199,"6.550305625606553e-199",1.0,"1.0",38.45815279852359
"x54","IOG_L","3.3944312041549294","2.7772433366136866",7.00502965802001e-201,"3.502514829010005e-200",1.401005931604002e-200,"3.4127067564712866e-200",1.0,"1.0",38.65031855280565
"x140","CGH_L","0.1999646931007156","0.14622998864821557",2.2021332931101847e-231,"1.162237015808153e-230",4.4042665862203693e-231,"1.195443787688386e-230",1.0,"1.0",43.24310544371607
"x120","PCR_L","4.135969747059054","3.008716122113054",7.165173724820929e-233,"4.004067669752872e-232",1.4330347449641858e-232,"4.004067669752872e-232",1.0,"1.0",43.47065061449375
"x34","STG_L","4.114217271959249","2.6517609988974455",1.237463885746427e-268,"7.34744182161941e-268",2.474927771492854e-268,"8.107522010062798e-268",1.0,"1.0",49.06285812939052
"x26","SPG_L","3.5204131680621966","2.2134398172970706",2.683341362416184e-276,"1.69944952953025e-275",5.366682724832368e-276,"1.888277255033611e-275",1.0,"1.0",50.29512810300888
"x152","SFO_L","6.868328011420996","3.7495220303620087",6.23e-322,"4.224e-321",1.245e-321,"4.733e-321",1.0,"1.0",57.92621048056183
"x70","Ins_L","5.917887834613174","2.8838802975230657",0.0,"0.0",0.0,"0.0",1.0,"1.0",64.89175195951346
"x183","PSTG_L","6.799329976011501","3.2517293437441204",0.0,"0.0",0.0,"0.0",1.0,"1.0",66.12287498226151
"x6","MFG_L","5.25293710881455","2.307425366248413",0.0,"0.0",0.0,"0.0",1.0,"1.0",71.99039202937057
"x14","IFG_triangularis_L","6.568125801884877","2.8399010275456225",0.0,"0.0",0.0,"0.0",1.0,"1.0",73.13718784920718
"x172","LV_atrium_L","4.040441562526868","1.6983234471515938",0.0,"0.0",0.0,"0.0",1.0,"1.0",75.23300765719246
"x74","Hippo_L","3.8015723166785103","1.5650609561354385",0.0,"0.0",0.0,"0.0",1.0,"1.0",76.81251751517509
"x185","PSMG_L","8.464218988655748","3.053754617116356",0.0,"0.0",0.0,"0.0",1.0,"1.0",87.65016831599343
"x181","PIns_L","11.7060680092141","3.1963389903065247",0.0,"0.0",0.0,"0.0",1.0,"1.0",115.81323966642073
"x118","SCR_L","10.002245902088598","2.4526687869506807",0.0,"0.0",0.0,"0.0",1.0,"1.0",128.96106859585325
"x28","SMG_L","13.969902506122539","2.9804882844433664",0.0,"0.0",0.0,"0.0",1.0,"1.0",148.21970896655267
"x22","PoCG_L","9.213822452007593","1.8355224439876523",0.0,"0.0",0.0,"0.0",1.0,"1.0",158.73772069734198
"x24","PrCG_L","17.857852559609213","2.8509949288269456",0.0,"0.0",0.0,"0.0",1.0,"1.0",198.07642460826253
"x10","IFG_opercularis_L","15.083017226975805","2.231386528359036",0.0,"0.0",0.0,"0.0",1.0,"1.0",213.75359140433906
"x64","subgenual_ACC_L","0.0","0.0",NaN,"1.0",1.0,"1.0",NaN,"1.0",NaN
"x84","Hypothalamus_L","0.0","0.0",NaN,"1.0",1.0,"1.0",NaN,"1.0",NaN
"x90","RedNc_L","0.0","0.0",NaN,"1.0",1.0,"1.0",NaN,"1.0",NaN
"x100","CST_L","0.0","0.0",NaN,"1.0",1.0,"1.0",NaN,"1.0",NaN
"x102","SCP_L","0.0","0.0",NaN,"1.0",1.0,"1.0",NaN,"1.0",NaN
"x104","MCP_L","0.0","0.0",NaN,"1.0",1.0,"1.0",NaN,"1.0",NaN
"x106","PCT_L","0.0","0.0",NaN,"1.0",1.0,"1.0",NaN,"1.0",NaN
"x108","ICP_L","0.0","0.0",NaN,"1.0",1.0,"1.0",NaN,"1.0",NaN
"x112","Pons_L","0.0","0.0",NaN,"1.0",1.0,"1.0",NaN,"1.0",NaN
"x114","Medulla_L","0.0","0.0",NaN,"1.0",1.0,"1.0",NaN,"1.0",NaN
"x160","AnteriorCom_L","0.0","0.0",NaN,"1.0",1.0,"1.0",NaN,"1.0",NaN
"x166","Mammillary_L","0.0","0.0",NaN,"1.0",1.0,"1.0",NaN,"1.0",NaN
"x180","III_and_IV_ventricle","0.0","0.0",NaN,"1.0",1.0,"1.0",NaN,"1.0",NaN
