"conn","conn_name","mean","std","right_p","right_p_adj","both_p","both_p_adj","left_p","left_p_adj","t"
"x22_38","PoCG_L -- MTG_L","-0.01480676800862881","0.0033167586273711164",1.0,"1.0",0.0,"0.0",0.0,"0.0",-141.17129689987425
"x6_14","MFG_L -- IFG_triangularis_L","-0.16021188886229631","0.03588853753799915",1.0,"1.0",0.0,"0.0",0.0,"0.0",-141.16888338127154
"x38_62","MTG_L -- subcallosal_ACC_L","-0.0016642742383637934","0.0003739568785448524",1.0,"1.0",0.0,"0.0",0.0,"0.0",-140.7354041688081
"x28_38","SMG_L -- MTG_L","-0.021064843002217767","0.004734734200579791",1.0,"1.0",0.0,"0.0",0.0,"0.0",-140.68980352204437
"x4_42","SFG_pole_L -- ITG_L","-0.0006365055840296867","0.00014308628868975074",1.0,"1.0",0.0,"0.0",0.0,"0.0",-140.67087820789095
"x10_187","IFG_opercularis_L -- PSIG_L","-0.040862111068751594","0.009205743008791192",1.0,"1.0",0.0,"0.0",0.0,"0.0",-140.3660094102494
"x58_78","LG_L -- Put_L","-0.19261284181774402","0.043651140335497295",1.0,"1.0",0.0,"0.0",0.0,"0.0",-139.53708472685165
"x14_28","IFG_triangularis_L -- SMG_L","-0.12444583956304626","0.02825085551244472",1.0,"1.0",0.0,"0.0",0.0,"0.0",-139.299249956436
"x48_62","FuG_L -- subcallosal_ACC_L","-0.0005263782975930406","0.00012042439024239868",1.0,"1.0",0.0,"0.0",0.0,"0.0",-138.22401989542178
"x78_185","Put_L -- PSMG_L","-0.13813620360055173","0.031802101972330715",1.0,"1.0",0.0,"0.0",0.0,"0.0",-137.3572825741372
"x8_42","MFG_DPFC_L -- ITG_L","-0.011140744656399354","0.002571702641352503",1.0,"1.0",0.0,"0.0",0.0,"0.0",-136.99145219232574
"x6_30","MFG_L -- AG_L","-0.1446887141189128","0.0339533194886208",1.0,"1.0",0.0,"0.0",0.0,"0.0",-134.75733602131896
"x4_58","SFG_pole_L -- LG_L","-0.0011584948202024378","0.00027255927137236286",1.0,"1.0",0.0,"0.0",0.0,"0.0",-134.41048146705694
"x12_78","IFG_orbitalis_L -- Put_L","-0.38416378664907463","0.09088554339670524",1.0,"1.0",0.0,"0.0",0.0,"0.0",-133.66620421285836
