"edge","edge_name","mean","std","right_p","right_p_adj","both_p","both_p_adj","left_p","left_p_adj","t"
"x6_14","MFG_L -- IFG_triangularis_L","-0.16021325701192188","0.035887280807580024",1.0,"1.0",0.0,"0.0",0.0,"0.0",-141.17503252143987
"x22_38","PoCG_L -- MTG_L","-0.014806753248101549","0.0033168144193978823",1.0,"1.0",0.0,"0.0",0.0,"0.0",-141.1687815340514
"x38_62","MTG_L -- subcallosal_ACC_L","-0.0016642681965684824","0.0003739671211333155",1.0,"1.0",0.0,"0.0",0.0,"0.0",-140.73103866960182
"x28_38","SMG_L -- MTG_L","-0.02106498547978759","0.004734698008463681",1.0,"1.0",0.0,"0.0",0.0,"0.0",-140.69183055693628
"x4_42","SFG_pole_L -- ITG_L","-0.0006365070631721856","0.0001430849147401562",1.0,"1.0",0.0,"0.0",0.0,"0.0",-140.67255587803052
"x10_187","IFG_opercularis_L -- PSIG_L","-0.04086228648800858","0.00920575244549246",1.0,"1.0",0.0,"0.0",0.0,"0.0",-140.3664681073414
"x58_78","LG_L -- Put_L","-0.19261243079641555","0.04364899348316268",1.0,"1.0",0.0,"0.0",0.0,"0.0",-139.54365000723027
"x14_28","IFG_triangularis_L -- SMG_L","-0.12444803684647211","0.028251384613956484",1.0,"1.0",0.0,"0.0",0.0,"0.0",-139.29910061009807
"x48_62","FuG_L -- subcallosal_ACC_L","-0.0005263772988973346","0.00012042946140197953",1.0,"1.0",0.0,"0.0",0.0,"0.0",-138.2179371845513
"x78_185","Put_L -- PSMG_L","-0.1381371253326662","0.03180087697274542",1.0,"1.0",0.0,"0.0",0.0,"0.0",-137.363490275362
"x8_42","MFG_DPFC_L -- ITG_L","-0.011140755378783139","0.0025716928745366154",1.0,"1.0",0.0,"0.0",0.0,"0.0",-136.9921043082356
"x6_30","MFG_L -- AG_L","-0.1446897661773026","0.03395174376850951",1.0,"1.0",0.0,"0.0",0.0,"0.0",-134.76457007838593
"x4_58","SFG_pole_L -- LG_L","-0.0011584930442423665","0.00027255679865521463",1.0,"1.0",0.0,"0.0",0.0,"0.0",-134.41149482763058
"x12_78","IFG_orbitalis_L -- Put_L","-0.38416891029934447","0.09088585063807365",1.0,"1.0",0.0,"0.0",0.0,"0.0",-133.66753507194724
"x36_76","STG_L_pole -- Caud_L","-0.02566366933883499","0.0060837280148221765",1.0,"1.0",0.0,"0.0",0.0,"0.0",-133.39789029098833
"x16_22","LFOG_L -- PoCG_L","-0.0007314695789030492","0.00017500340470257217",1.0,"1.0",0.0,"0.0",0.0,"0.0",-132.1751375288464
"x183_185","PSTG_L -- PSMG_L","-0.13303379366973822","0.031888690591649886",1.0,"1.0",0.0,"0.0",0.0,"0.0",-131.92444906452857
"x22_187","PoCG_L -- PSIG_L","-0.05070054145759787","0.012215654293782545",1.0,"1.0",0.0,"0.0",0.0,"0.0",-131.24895789774106
"x4_52","SFG_pole_L -- MOG_L","-0.0007654182530939211","0.00018562736170130883",1.0,"1.0",0.0,"0.0",0.0,"0.0",-130.39376416601556
"x22_42","PoCG_L -- ITG_L","-0.024920770007320136","0.006076721791448722",1.0,"1.0",0.0,"0.0",0.0,"0.0",-129.68570385967067
"x6_183","MFG_L -- PSTG_L","-0.017309721352259576","0.004228016854393085",1.0,"1.0",0.0,"0.0",0.0,"0.0",-129.46529548271513
"x28_187","SMG_L -- PSIG_L","-0.07987044540261805","0.019600149827491458",1.0,"1.0",0.0,"0.0",0.0,"0.0",-128.86254820875675
"x10_72","IFG_opercularis_L -- Amyg_L","-0.0006467172335481824","0.00015963653764710647",1.0,"1.0",0.0,"0.0",0.0,"0.0",-128.10973541760364
"x28_183","SMG_L -- PSTG_L","-0.1336286759429962","0.0330163241944071",1.0,"1.0",0.0,"0.0",0.0,"0.0",-127.98849872088407
"x24_76","PrCG_L -- Caud_L","-0.00970558143922358","0.002400599120534357",1.0,"1.0",0.0,"0.0",0.0,"0.0",-127.85034828043185
"x18_22","MFOG_L -- PoCG_L","-0.0005975770413973144","0.00014797183787790966",1.0,"1.0",0.0,"0.0",0.0,"0.0",-127.7070390785726
"x70_183","Ins_L -- PSTG_L","-0.010120538774366736","0.0025066876098651385",1.0,"1.0",0.0,"0.0",0.0,"0.0",-127.67428038936863
"x6_12","MFG_L -- IFG_orbitalis_L","-0.06872516184190322","0.017085239573300805",1.0,"1.0",0.0,"0.0",0.0,"0.0",-127.20222215890178
"x62_181","subcallosal_ACC_L -- PIns_L","-0.0009995082016308738","0.0002488423170891656",1.0,"1.0",0.0,"0.0",0.0,"0.0",-127.01708029988438
"x30_76","AG_L -- Caud_L","-0.001283412193874674","0.0003236345968786957",1.0,"1.0",0.0,"0.0",0.0,"0.0",-125.40395089461877
"x12_24","IFG_orbitalis_L -- PrCG_L","-0.02369111139198594","0.005977327711827531",1.0,"1.0",0.0,"0.0",0.0,"0.0",-125.33673225109496
"x0_28","SFG_L -- SMG_L","-0.02392987377320781","0.006043863490041694",1.0,"1.0",0.0,"0.0",0.0,"0.0",-125.20617874369334
"x8_10","MFG_DPFC_L -- IFG_opercularis_L","-0.026267065614170085","0.006652944130260166",1.0,"1.0",0.0,"0.0",0.0,"0.0",-124.85262639146622
"x2_42","SFG_PFC_L -- ITG_L","-0.012050439505333854","0.0030530567567285984",1.0,"1.0",0.0,"0.0",0.0,"0.0",-124.81535287198479
"x42_78","ITG_L -- Put_L","-0.10530254933639445","0.026853339460204857",1.0,"1.0",0.0,"0.0",0.0,"0.0",-124.00539598389243
"x28_42","SMG_L -- ITG_L","-0.04767780635676151","0.012242657023901817",1.0,"1.0",0.0,"0.0",0.0,"0.0",-123.15174854075045
"x42_62","ITG_L -- subcallosal_ACC_L","-0.0008974612804115341","0.0002311858079358954",1.0,"1.0",0.0,"0.0",0.0,"0.0",-122.75934164170006
"x181_183","PIns_L -- PSTG_L","-0.034596863384484394","0.008988267425974026",1.0,"1.0",0.0,"0.0",0.0,"0.0",-121.71966298699282
"x10_12","IFG_opercularis_L -- IFG_orbitalis_L","-0.04265413005988603","0.011172058095165303",1.0,"1.0",0.0,"0.0",0.0,"0.0",-120.73353132728977
"x22_36","PoCG_L -- STG_L_pole","-0.0035593530053775416","0.0009461064507797015",1.0,"1.0",0.0,"0.0",0.0,"0.0",-118.9682459545922
"x22_40","PoCG_L -- MTG_L_pole","-0.0022329548503345906","0.0005968533052001436",1.0,"1.0",0.0,"0.0",0.0,"0.0",-118.3075167357891
"x34_62","STG_L -- subcallosal_ACC_L","-0.002395549628280435","0.0006406649323606584",1.0,"1.0",0.0,"0.0",0.0,"0.0",-118.24266774556912
"x62_72","subcallosal_ACC_L -- Amyg_L","-0.00030904737065189325","8.266142718896668e-5",1.0,"1.0",0.0,"0.0",0.0,"0.0",-118.22849294776078
"x2_54","SFG_PFC_L -- IOG_L","-0.00958093017370006","0.002588351299029108",1.0,"1.0",0.0,"0.0",0.0,"0.0",-117.05351380737801
"x28_181","SMG_L -- PIns_L","-0.09881311106893362","0.02673177491075645",1.0,"1.0",0.0,"0.0",0.0,"0.0",-116.89253508538661
"x66_80","dorsal_ACC_L -- GP_L","-0.013675245620137498","0.003700467441506761",1.0,"1.0",0.0,"0.0",0.0,"0.0",-116.86340821922691
"x8_52","MFG_DPFC_L -- MOG_L","-0.004245897363791461","0.0011503684775507907",1.0,"1.0",0.0,"0.0",0.0,"0.0",-116.7165707588918
"x36_62","STG_L_pole -- subcallosal_ACC_L","-0.0014339725745153276","0.0003891945259835212",1.0,"1.0",0.0,"0.0",0.0,"0.0",-116.5129295234732
"x20_54","RG_L -- IOG_L","-0.010323673033219776","0.0028108081178995817",1.0,"1.0",0.0,"0.0",0.0,"0.0",-116.14567496065537
"x4_56","SFG_pole_L -- Cu_L","-0.0006791175286113975","0.00018510456551758104",1.0,"1.0",0.0,"0.0",0.0,"0.0",-116.01865050446902
"x24_42","PrCG_L -- ITG_L","-0.03303688027621603","0.00901888288294586",1.0,"1.0",0.0,"0.0",0.0,"0.0",-115.8367281347947
"x34_52","STG_L -- MOG_L","-0.14863040351011375","0.04058861621259425",1.0,"1.0",0.0,"0.0",0.0,"0.0",-115.79862742302727
"x6_185","MFG_L -- PSMG_L","-0.06383450586479707","0.017567541641336726",1.0,"1.0",0.0,"0.0",0.0,"0.0",-114.9064769365051
