,abs_coef_mean,abs_coef_med,coef_mean,coef_med,coef_std,name,rank_mean,rank_med,rank_std,roi
151,2.85714083711e-05,9.20029034445e-06,-2.85714083711e-05,-9.20029034445e-06,0.000506073669433,SS_R,8792.38297872,8937.0,5111.68542615,151
114,6.10372987703e-06,8.58841636643e-06,6.10372987703e-06,8.58841636643e-06,0.000534462832413,Medulla_L,8856.04255319,8584.0,5283.35027778,114
40,3.82826120816e-07,8.14647116003e-06,3.82826120816e-07,8.14647116003e-06,0.000510299894118,MTG_L_pole,8960.95744681,9517.0,5082.79317668,40
131,4.9117425817e-05,7.83616500962e-06,-4.9117425817e-05,7.83616500962e-06,0.000485644324869,ALIC_R,8899.80319149,9457.0,5088.59260091,131
75,4.41674008227e-05,7.38894625241e-06,4.41674008227e-05,7.38894625241e-06,0.000528420310881,Hippo_R,9291.31382979,9836.5,5237.72521096,75
63,2.19496436339e-05,6.87777681235e-06,-2.19496436339e-05,-6.87777681235e-06,0.000496342663962,subcallosal_ACC_R,8940.06914894,8715.0,5187.68523591,63
51,5.03076336897e-06,6.87315727071e-06,5.03076336897e-06,6.87315727071e-06,0.000503662299241,SOG_R,8963.12765957,9118.0,5261.98069098,51
124,4.0651645273e-05,6.80432692156e-06,-4.0651645273e-05,-6.80432692156e-06,0.000545272460618,BCC_L,8531.7393617,8142.0,5460.39327661,124
91,5.00701325926e-06,6.79254424053e-06,5.00701325926e-06,6.79254424053e-06,0.00051645332453,RedNc_R,8480.54255319,8728.0,5032.75284884,91
24,2.41470767771e-05,6.13820120907e-06,2.41470767771e-05,6.13820120907e-06,0.000509318555695,PrCG_L,9333.78723404,10113.5,5198.83560689,24
38,1.68870668753e-06,6.04832514531e-06,-1.68870668753e-06,6.04832514531e-06,0.00047359583164,MTG_L,9103.13297872,8470.0,5308.83442735,38
112,1.8628715937e-05,5.9737798853e-06,1.8628715937e-05,5.9737798853e-06,0.000437247600008,Pons_L,9637.17553191,10260.0,4856.65747022,112
99,1.09196911366e-05,5.9440350739e-06,-1.09196911366e-05,5.9440350739e-06,0.000494545542821,Midbrain_R,8333.9787234,8160.0,4935.86395998,99
90,8.11174090228e-06,4.46197711271e-06,-8.11174090228e-06,4.46197711271e-06,0.000514507414208,RedNc_L,8639.23404255,8742.0,5034.94709648,90
49,3.07006959248e-05,4.41385198755e-06,3.07006959248e-05,4.41385198755e-06,0.000537191889007,FuG_R,8945.58510638,9009.5,5424.6519212,49
29,7.08583593973e-06,4.22110301748e-06,-7.08583593973e-06,-4.22110301748e-06,0.000459853329167,SMG_R,9802.84042553,10659.0,4891.72258917,29
159,9.6571999889e-07,4.14973257676e-06,9.6571999889e-07,-4.14973257676e-06,0.000550358394418,AnsaLenticularis_R,8318.79255319,8802.5,5200.2767208,159
175,1.76775861775e-06,3.95437442266e-06,-1.76775861775e-06,-3.95437442266e-06,0.000477772502325,LV_frontal_R,9077.03191489,9285.5,4969.08879967,175
165,2.45080336906e-05,3.73860920099e-06,2.45080336906e-05,3.73860920099e-06,0.000488662344301,OlfactoryRadiation_R,9220.79255319,9094.5,4933.80184043,165
70,1.55757795445e-06,3.72293754287e-06,1.55757795445e-06,-3.72293754287e-06,0.000431593108192,Ins_L,8938.60106383,8403.0,4892.62806782,70
108,2.46195436775e-05,3.52788449852e-06,-2.46195436775e-05,-3.52788449852e-06,0.000440295448068,ICP_L,9160.26595745,8769.5,4948.77949852,108
162,5.36750481418e-06,3.43548451897e-06,5.36750481418e-06,-3.43548451897e-06,0.00051832076959,LenticularFasc_L,8414.29255319,8571.0,5065.93497541,162
166,3.81352533163e-05,3.10494369279e-06,-3.81352533163e-05,-3.10494369279e-06,0.000435810297092,Mammillary_L,9510.05851064,9470.5,5070.16154552,166
110,3.12708172761e-05,1.83862851856e-06,-3.12708172761e-05,-1.83862851856e-06,0.00047333198713,ML_L,8851.68085106,8884.0,5079.79413998,110
41,8.14460054426e-07,1.63423472163e-06,8.14460054426e-07,1.63423472163e-06,0.000423194449153,MTG_R_pole,9589.88297872,9380.5,5041.56939293,41
88,4.91019788223e-06,1.33029788642e-06,4.91019788223e-06,1.33029788642e-06,0.000424416102936,NucAccumbens_L,9472.10106383,9576.0,4857.72312651,88
27,4.81993972343e-07,1.28462375101e-06,4.81993972343e-07,1.28462375101e-06,0.000466348599889,SPG_R,9328.85106383,9468.5,5172.04386008,27
21,4.76910287525e-05,1.11214596211e-06,-4.76910287525e-05,-1.11214596211e-06,0.000495210226589,RG_R,8802.11702128,9228.0,5188.92893441,21
156,1.41989649867e-06,1.0092659447e-06,-1.41989649867e-06,-1.0092659447e-06,0.000493916029697,UNC_L,8347.66489362,8375.5,4778.08835956,156
176,3.45237168922e-05,9.88862405e-07,3.45237168922e-05,9.88862405e-07,0.000479332711039,LV_body_R,8838.86702128,9335.5,4988.83912949,176
35,2.28092713108e-05,7.38648492364e-07,-2.28092713108e-05,-7.38648492364e-07,0.000445808940898,STG_R,9297.2393617,9878.0,5007.71305525,35
26,1.69886436177e-05,6.73263004706e-07,-1.69886436177e-05,-6.73263004706e-07,0.00048597116594,SPG_L,9345.03723404,9743.0,5368.59836235,26
4,9.45747937805e-06,0.0,-9.45747937805e-06,0.0,0.000472603020759,SFG_pole_L,8741.40957447,8308.5,5009.20158493,4
180,1.68538377096e-05,0.0,1.68538377096e-05,0.0,0.000503803275597,III_and_IV_ventricle,8862.38297872,8216.5,5100.12031691,180
23,1.40643682491e-05,0.0,-1.40643682491e-05,0.0,0.000461999650597,PoCG_R,8893.22340426,8465.5,5061.85957684,23
185,4.34749368779e-05,0.0,-4.34749368779e-05,0.0,0.000488250165861,PSMG_L,9304.79787234,9983.0,5114.78687516,185
7,1.18094333816e-05,0.0,-1.18094333816e-05,0.0,0.000493151429472,MFG_R,9051.01595745,8751.5,5280.78199447,7
181,3.23793121681e-05,0.0,3.23793121681e-05,0.0,0.000536185734408,PIns_L,8242.77659574,8334.5,5159.24806837,181
22,2.95970062875e-05,0.0,-2.95970062875e-05,0.0,0.00052776842422,PoCG_L,8555.18617021,8591.0,5150.34563728,22
158,1.92633436381e-05,0.0,1.92633436381e-05,0.0,0.000455386772915,AnsaLenticularis_L,9512.81914894,9976.0,5164.1034792,158
8,1.97243865909e-05,0.0,-1.97243865909e-05,0.0,0.000437463756236,MFG_DPFC_L,9237.70212766,8884.0,5001.04590089,8
178,7.19562127876e-06,0.0,-7.19562127876e-06,0.0,0.000509249499032,LV_occipital_R,8610.98404255,8138.0,5162.17531922,178
16,1.55672074982e-05,0.0,-1.55672074982e-05,0.0,0.000493251295444,LFOG_L,8868.21276596,9083.0,5310.60903342,16
11,1.47597613983e-05,0.0,-1.47597613983e-05,0.0,0.000461829407846,IFG_opercularis_R,9500.13297872,9675.0,5103.27934601,11
13,7.58199204963e-05,0.0,-7.58199204963e-05,0.0,0.000522936185664,IFG_orbitalis_R,8355.46276596,8464.5,5110.94008129,13
154,2.01876374289e-05,0.0,-2.01876374289e-05,0.0,0.000505200514087,SLF_L,8899.87234043,9066.0,5060.58938253,154
14,1.81491981792e-05,0.0,-1.81491981792e-05,0.0,0.00049236053777,IFG_triangularis_L,9032.08510638,9039.5,5224.1049822,14
64,6.5794432419e-05,0.0,-6.5794432419e-05,0.0,0.000530247126694,subgenual_ACC_L,8889.70744681,8851.0,5356.63575098,64
126,5.21042953905e-05,0.0,-5.21042953905e-05,0.0,0.000461453477524,SCC_L,8989.42553191,8588.5,4959.90505762,126
153,8.36714169052e-06,0.0,-8.36714169052e-06,0.0,0.000559313999688,SFO_R,8611.07446809,8095.5,5486.09626885,153
81,8.52854492552e-06,0.0,-8.52854492552e-06,0.0,0.000484973312453,GP_R,8915.13297872,9428.0,5255.3480054,81
92,5.78866066115e-05,0.0,-5.78866066115e-05,0.0,0.000497946339645,Snigra_L,8832.65957447,9250.5,5080.35480741,92
87,1.28736421886e-05,0.0,-1.28736421886e-05,0.0,0.000505568287677,Mynert_R,9497.15425532,9963.0,5396.70548365,87
86,4.80600790479e-05,0.0,-4.80600790479e-05,0.0,0.000465591554725,Mynert_L,9335.94148936,9554.5,5160.94644048,86
85,3.974013471e-05,0.0,-3.974013471e-05,0.0,0.000502056356576,Hypothalamus_R,8822.69148936,9233.5,4963.99198704,85
58,2.90854060978e-06,0.0,-2.90854060978e-06,0.0,0.000463777921859,LG_L,9262.72340426,9519.5,4959.0413858,58
59,2.1347986459e-05,0.0,-2.1347986459e-05,0.0,0.000501164813627,LG_R,9095.89361702,8659.0,5362.91531342,59
60,2.58970099742e-05,0.0,-2.58970099742e-05,0.0,0.000466726918521,rostral_ACC_L,9135.38829787,9273.5,4848.33141985,60
98,2.87321542345e-05,0.0,-2.87321542345e-05,0.0,0.000470981378577,Midbrain_L,9298.11170213,9398.0,5119.5602738,98
77,6.31888660202e-05,0.0,-6.31888660202e-05,0.0,0.000541365097119,Caud_R,8762.89893617,8196.5,5347.98655047,77
76,5.74924647506e-06,0.0,5.74924647506e-06,0.0,0.000504544842528,Caud_L,8832.94148936,9005.0,5160.6381854,76
74,1.21123434614e-05,0.0,-1.21123434614e-05,0.0,0.000540204456537,Hippo_L,8379.78191489,7949.0,5183.04771513,74
61,2.35816259535e-05,0.0,-2.35816259535e-05,0.0,0.000497200388442,rostral_ACC_R,9454.85638298,9976.0,5409.92744727,61
71,2.83600265253e-06,0.0,-2.83600265253e-06,0.0,0.000503174961259,Ins_R,9271.42021277,9439.0,5204.43062668,71
67,2.45073019163e-06,0.0,-2.45073019163e-06,0.0,0.000546251934962,dorsal_ACC_R,8497.32978723,8340.0,5232.58432933,67
56,3.45928751035e-05,0.0,-3.45928751035e-05,0.0,0.000455134470967,Cu_L,9681.15957447,9671.5,5208.2556199,56
101,4.33416385579e-06,0.0,4.33416385579e-06,0.0,0.000452480069681,CST_R,8956.52659574,8792.5,5043.60481144,101
149,1.81746790214e-05,0.0,-1.81746790214e-05,0.0,0.000520308884968,PTR_R,8510.44680851,8452.5,5069.70184531,149
133,2.10046705032e-05,0.0,2.10046705032e-05,0.0,0.000496921587023,PLIC_R,9276.10106383,9444.0,5496.55476092,133
145,2.86580088236e-05,0.0,-2.86580088236e-05,0.0,0.000481196112499,Fx_R,9213.84574468,8754.5,5217.90312623,145
144,5.36268509069e-05,0.0,-5.36268509069e-05,0.0,0.000517007508842,Fx_L,9195.87765957,9888.0,5519.89122531,144
142,3.11571448851e-06,0.0,3.11571448851e-06,0.0,0.000494782586856,Fx/ST_L,8675.2287234,8835.0,5034.73634774,142
141,6.29482605581e-05,0.0,-6.29482605581e-05,0.0,0.00046431033206,CGH_R,8971.18617021,8457.0,5011.44033447,141
139,2.38515360677e-05,0.0,2.38515360677e-05,0.0,0.000511803504418,CGC_R,8484.64361702,7949.5,5149.25851361,139
34,5.50798536863e-06,0.0,5.50798536863e-06,0.0,0.000521681546017,STG_L,8455.90957447,8345.5,5250.42827,34
132,5.08821654661e-05,0.0,5.08821654661e-05,0.0,0.000499567542686,PLIC_L,8933.57446809,9290.5,5342.80482456,132
