"coef","pvalue","pvalue_left","pvalue_right","tscore","predictor","cor_coef","pvalue_adj","pvalue_left_adj","pvalue_right_adj"
-77.8462724992453,2.046917196437073e-5,1.0234585982185364e-5,0.9999897654140179,-5.333590177985913,"RG_L_to_MFG_DPFC_L",-0.7435990690794005,"0.0913948528209153","0.04569742641045765","0.9999897654140179"
-537.9920404953118,0.00010887768892012377,5.4438844460061885e-5,0.9999455611555399,-4.659051389371277,"Fx_ST_L_to_MFG_DPFC_L",-0.6968044300821,"0.1370314865901274","0.0685157432950637","0.9999897654140179"
-70.55736752656318,0.00016406600510816328,8.203300255408164e-5,0.999917966997446,-4.494598526001416,"SS_L_to_MFG_DPFC_L",-0.6838201825351221,"0.1370314865901274","0.0685157432950637","0.9999897654140179"
-6.456970117880401,0.00026536166968541767,0.00013268083484270884,0.9998673191651573,-4.301829693704405,"SLF_L_to_IFG_opercularis_L",-0.6677273098299785,"0.1370314865901274","0.0685157432950637","0.9999897654140179"
-3.1258822870494716,0.0003048784138402796,0.0001524392069201398,0.9998475607930799,-4.246147613553773,"SS_L_to_Put_L",-0.6628962299329489,"0.1370314865901274","0.0685157432950637","0.9999897654140179"
-31.998039100088086,0.0004104404102729597,0.00020522020513647984,0.9997947797948635,-4.126787215209951,"Put_L_to_IOG_L",-0.6522547635486396,"0.1370314865901274","0.0685157432950637","0.9999897654140179"
-72.98419595584916,0.00041557743811926616,0.00020778871905963308,0.9997922112809403,-4.121789804929109,"PSMG_L_to_ALIC_L",-0.6518005877061482,"0.1370314865901274","0.0685157432950637","0.9999897654140179"
-320.08043105032766,0.0004284819536389586,0.0002142409768194793,0.9997857590231806,-4.1095019353539195,"PSMG_L_to_MFG_L",-0.6506808498350684,"0.1370314865901274","0.0685157432950637","0.9999897654140179"
-988.9189754330827,0.0004345560997812518,0.0002172780498906259,0.9997827219501094,-4.103844789070006,"CST_L_to_IFG_orbitalis_L",-0.6501639082583686,"0.1370314865901274","0.0685157432950637","0.9999897654140179"
-40.47677461117413,0.0004749026973063269,0.00023745134865316346,0.9997625486513468,-4.06815098366096,"SMG_L_to_IFG_opercularis_L",-0.6468813481706541,"0.1370314865901274","0.0685157432950637","0.9999897654140179"
-361.88293726542446,0.0004968716668218416,0.0002484358334109208,0.9997515641665891,-4.049961995001874,"PSMG_L_to_MFG_DPFC_L",-0.6451946469112141,"0.1370314865901274","0.0685157432950637","0.9999897654140179"
-12.391298312010951,0.0005170080092958951,0.00025850400464794756,0.999741495995352,-4.033978124656143,"SLF_L_to_IFG_triangularis_L",-0.6437046009451705,"0.1370314865901274","0.0685157432950637","0.9999897654140179"
-169.94691008965015,0.0005247306643093332,0.0002623653321546666,0.9997376346678454,-4.028011343078672,"SMG_L_to_IFG_triangularis_L",-0.6431464823573608,"0.1370314865901274","0.0685157432950637","0.9999897654140179"
-13.08129385287052,0.0005299584417781784,0.0002649792208890892,0.9997350207791109,-4.0240214243425205,"SS_L_to_ALIC_L",-0.642772702019586,"0.1370314865901274","0.0685157432950637","0.9999897654140179"
-36.54727253940724,0.0005753380335874489,0.00028766901679372445,0.9997123309832062,-3.990941664741798,"PSTG_L_to_PrCG_L",-0.639656002335718,"0.1370314865901274","0.0685157432950637","0.9999897654140179"
-66.50302969357105,0.0006483470768731513,0.00032417353843657563,0.9996758264615634,-3.942796023150578,"PSIG_L_to_Put_L",-0.6350628040736032,"0.1370314865901274","0.0685157432950637","0.9999897654140179"
-3463.344546339294,0.0006600240960833949,0.00033001204804169744,0.9996699879519583,-3.935597595366917,"LG_L_to_SFG_pole_L",-0.6343702043883213,"0.1370314865901274","0.0685157432950637","0.9999897654140179"
-896.2942756074622,0.0006700845937445021,0.00033504229687225103,0.9996649577031278,-3.9294960601191713,"GCC_L_to_MTG_L_pole",-0.6337819438904192,"0.1370314865901274","0.0685157432950637","0.9999897654140179"
-14.221711372879131,0.0006801355003089192,0.0003400677501544596,0.9996599322498455,-3.9234902025955964,"SMG_L_to_PrCG_L",-0.633201831909628,"0.1370314865901274","0.0685157432950637","0.9999897654140179"
-35.256801943372935,0.0007240288039487978,0.0003620144019743989,0.9996379855980256,-3.898251431405254,"PTR_L_to_ALIC_L",-0.6307522872962941,"0.1370314865901274","0.0685157432950637","0.9999897654140179"
-3595.027630151789,0.0007348168356001121,0.00036740841780005606,0.9996325915822,-3.8922800891478833,"PTR_L_to_SFG_pole_L",-0.6301699645095177,"0.1370314865901274","0.0685157432950637","0.9999897654140179"
-53.21989496531362,0.0007884172502213078,0.0003942086251106539,0.9996057913748894,-3.863840409209805,"SFO_L_to_Caud_L",-0.6273818923170701,"0.1370314865901274","0.0685157432950637","0.9999897654140179"
-2472.0528360154563,0.0007889237552124836,0.0003944618776062418,0.9996055381223937,-3.863580881482747,"PCT_L_to_Caud_L",-0.6273563378268934,"0.1370314865901274","0.0685157432950637","0.9999897654140179"
-314.6664774173812,0.0008006247889338686,0.0004003123944669343,0.9995996876055331,-3.8576307828642684,"LV_occipital_L_to_PLIC_L",-0.6267699030508149,"0.1370314865901274","0.0685157432950637","0.9999897654140179"
-8.035311585154373,0.0008237975293534101,0.00041189876467670505,0.9995881012353233,-3.8460965540751375,"Put_L_to_LG_L",-0.6256300626213095,"0.1370314865901274","0.0685157432950637","0.9999897654140179"
-244.49021678989962,0.0008421409364415328,0.0004210704682207664,0.9995789295317792,-3.837191105063928,"ALIC_L_to_MOG_L",-0.6247472543954399,"0.1370314865901274","0.0685157432950637","0.9999897654140179"
