"coef","pvalue","tscore","edge","cor_coef","pvalue_adj","pd_atw_pvalue","pd_atw_pvalue_adj","pd_atw_coef","pd_atw_tscore"
-2.4309620926068223,0.00013160275283654677,-4.1439539626616035,"UNC_R_to_ACR_R",-0.50255522974395,"1.0",0.0005717234599677669,"0.0013666534063532922",0.08011395381145744,3.6797361347097586
-1.5701333368422985,0.0001685671426990182,-4.067323300009715,"ACR_R_to_STG_R_pole",-0.4253851358224395,"1.0",6.569798611436397e-5,"0.0013666534063532922",0.094627670774936,4.356121105289154
-99.64443524316047,0.00023529700141840652,-3.9631295784478966,"Caud_L_to_PrCu_L",-0.35239737742968275,"1.0",1.5925168035073836e-5,"0.0013666534063532922",0.10584722339147011,4.777982132377137
-9.966142429112933,0.00023660068972683175,-3.9613937570842688,"ITG_R_to_MFG_DPFC_R",-0.48754944234515946,"1.0",0.0006125365189623166,"0.0013666534063532922",0.08051431882892551,3.6573160248305516
-2.392577631912032,0.0004360471764842573,-3.7672181946944208,"PrCG_L_to_IFG_opercularis_L",-0.034294176894404595,"1.0",9.740799306021976e-7,"0.0013666534063532922",0.15917430241753439,5.580637886572025
3.5257798074468845,0.0004519620991880144,3.7556957071887203,"PoCG_R_to_SFG_R",0.3801465864622199,"1.0",5.585339375754409e-5,"0.0013666534063532922",0.09771871847793939,4.405138066202839
-8.746919912324525,0.0005290848704925697,-3.7048618151002204,"SCC_L_to_Midbrain_R",-0.3595778492483853,"1.0",4.11502815596166e-5,"0.0013666534063532922",0.10035845021670084,4.496858208972172
-12.156549230697909,0.000568621789553035,-3.681502204122139,"MTG_R_pole_to_MFG_DPFC_R",-0.4830429552209644,"1.0",0.001272910330586136,"0.0016066016576579492",0.07700203207905788,3.415262797713062
-10.045612920516566,0.0006576197124075204,-3.6341569832793326,"UNC_R_to_MFG_DPFC_R",-0.4782908185672898,"1.0",0.0012567560612886293,"0.001592867385251892",0.07728729702335276,3.4195604300134543
214.13908905709064,0.0006606829672082877,3.63263908901111,"MCP_R_to_LG_R",0.3248503256174815,"1.0",2.5351808605381297e-5,"0.0013666534063532922",0.10481867969153355,4.6409865496745395
-18.30442447748765,0.0009387333936670438,-3.517018249849365,"SFO_L_to_GCC_L",-0.3016248778425137,"1.0",2.3466269178322087e-5,"0.0013666534063532922",0.10651080173014096,4.663846084280597
5.048107546398606,0.001029629813095019,3.4862908924579847,"LFOG_R_to_MFG_DPFC_R",0.3392924219038859,"1.0",5.1813398681025544e-5,"0.0013666534063532922",0.10007874543495808,4.427741941479352
-0.8682190248218802,0.001080404597304774,-3.470234673421982,"RLIC_R_to_SCC_L",-0.3673352948583436,"1.0",9.826556577255681e-5,"0.0013666534063532922",0.09530353463168577,4.233662047709641
-122.1837491064508,0.0011239730966856342,-3.457020315371675,"Fx_ST_L_to_PHG_R",-0.2932021703346713,"1.0",2.4232960681394198e-5,"0.0013666534063532922",0.10677522187586716,4.654341290333688
-1434.3163777211353,0.0012287024760946278,-3.427150101985254,"Medulla_R_to_MTG_R",-0.28464473764205506,"1.0",2.2961521075495685e-5,"0.0013666534063532922",0.10756534416003218,4.6702710740297855
-2.3861456585330876,0.0012905813212437578,-3.410620647521958,"UNC_R_to_ALIC_R",-0.39438184748151583,"1.0",0.00022054209134554756,"0.0013666534063532922",0.08986244970782228,3.983450462338204
6.45379557302974,0.0013225258137544687,3.4023801335847943,"PCT_R_to_Thal_L",0.3579728443573518,"1.0",9.75607929161524e-5,"0.0013666534063532922",0.09574844841203749,4.235863147052752
-0.6577651217645685,0.001353511131434196,-3.3945658215193055,"CGH_R_to_SOG_L",-0.40625076129467796,"1.0",0.00031163916578478754,"0.0013666534063532922",0.0875674233595844,3.874432062331362
-1.3704669234656677,0.0014091272889623096,-3.3809566372448763,"CGC_L_to_RLIC_R",-0.27622385573170916,"1.0",2.2949631749685422e-5,"0.0013666534063532922",0.10803150758325593,4.670424077060991
-4.682030379488602,0.0015185574594972207,-3.3556068052503227,"STG_R_to_MFG_DPFC_R",-0.42308300198645443,"1.0",0.0005458891696918585,"0.0013666534063532922",0.0839719310288833,3.6947353285774835
74.58849468854699,0.0015494848796153563,3.3487564937136933,"CGC_R_to_NucAccumbens_R",0.29944520344731596,"1.0",3.678847578819253e-5,"0.0013666534063532922",0.10396373077464019,4.530334381577597
-15.327821944346844,0.001560090167035927,-3.3464372941860443,"UNC_R_to_SFG_PFC_R",-0.3836050897964129,"1.0",0.00020474892364175657,"0.0013666534063532922",0.09069459174050307,4.006712396262885
-10.123793388559132,0.0016594166913761782,-3.325413993737951,"MTG_R_to_MFG_DPFC_R",-0.4690732642398433,"1.0",0.002355156935172737,"0.002579050812760859",0.07441511688082691,3.2048265469746453
-22.57543136936201,0.00204937923679174,-3.252999031719196,"SCC_L_to_SCP_R",-0.3172332809633198,"1.0",6.622885340103512e-5,"0.0013666534063532922",0.09968769402124371,4.353685855440545
530.3872490448435,0.0021549354213281757,3.235645253901811,"STG_R_pole_to_MFOG_L",0.25264171567865606,"1.0",2.4405691583019328e-5,"0.0013666534063532922",0.1089505808679896,4.652240609748477
-1.6740040096133348,0.0024045901915559255,-3.1975988072117856,"ITG_R_to_IFG_orbitalis_R",-0.4343328364026691,"1.0",0.0011792773785191937,"0.0015352122742560265",0.07952115037147874,3.44093185646029
-2.4256023375554707,0.0024396539401481125,-3.1925564990804363,"ACR_R_to_MTG_R",-0.47452696543341616,"1.0",0.0041551296112391865,"0.004344910692953231",0.07112843161371352,3.004014406327527
