"coef","pvalue","pvalue_left","pvalue_right","tscore","predictor","cor_coef","pvalue_adj","pvalue_left_adj","pvalue_right_adj","pd_adw_coef","pd_adw_pvalue","pd_adw_pvalue_adj","pd_adw_tscore"
-2.3404017771610994,0.010662450112754844,0.005331225056377422,0.9946687749436226,-2.7905228454737823,"MFG_DPFC_L_to_SFG_PFC_L",-0.3850980610711267,"1.0","0.8269425245976824","0.9946687749436226",0.337578009926751,0.004684056336153618,"0.04093466264505818",3.1466727220950235
6.726558754854796,0.015439489294151006,0.9922802553529245,0.007719744647075503,2.6256997070349364,"Caud_L_to_subgenual_ACC_L",0.34885187956367397,"1.0","0.9922802553529245","0.9531145516593074",0.34468576349857033,0.004665772740419103,"0.04093466264505818",3.1483393952528376
-2.803600685500273,0.017511189761354667,0.008755594880677333,0.9912444051193227,-2.5688357252556004,"PrCG_L_to_IFG_opercularis_L",-0.2612856144849117,"1.0","0.8269425245976824","0.992203055414409",0.38776938905678604,0.0026194624052488184,"0.04093466264505818",3.3922242925455732
131.81686484553276,0.021890689096235365,0.9890546554518823,0.010945344548117682,2.46688551935118,"rostral_ACC_L_to_MFOG_L",0.37371157160131596,"1.0","0.9900111880006752","0.9531145516593074",0.3177233881583943,0.008389968118812157,"0.04093466264505818",2.8955850048399863
-4.741727338460077,0.022497948265416477,0.011248974132708239,0.9887510258672918,-2.4542811778300804,"Caud_L_to_SFG_PFC_L",-0.3631462154114678,"1.0","0.8269425245976824","0.9906653550558056",0.3225519639068993,0.007731445209307829,"0.04093466264505818",2.9311511156674146
-1.4367200425913063,0.023304736837551576,0.011652368418775788,0.9883476315812242,-2.4380154369138394,"PSTG_L_to_STG_L",-0.3924412396698454,"1.0","0.8269425245976824","0.9906653550558056",0.3048551143298715,0.010926159617455408,"0.04093466264505818",2.779745300751568
7.303510791253779,0.025123802251441757,0.9874380988742791,0.012561901125720878,2.4031770128349748,"dorsal_ACC_L_to_RG_L",0.3862369128185715,"1.0","0.989349886093784","0.9531145516593074",0.3056110608034261,0.01097384847359022,"0.04093466264505818",2.777822713125675
73.81743978579662,0.033916782295765786,0.9830416088521171,0.016958391147882893,2.262027388018212,"dorsal_ACC_L_to_MFOG_L",0.3636951341577135,"1.0","0.9858992879476175","0.9531145516593074",0.306824410167263,0.011563814096840614,"0.04093466264505818",2.754672220331211
-0.42944109258291313,0.035250348459005224,0.017625174229502612,0.9823748257704974,-2.2436319608077206,"PCC_L_to_Cu_L",-0.5135418563135137,"1.0","0.8269425245976824","0.9861861733001598",0.2056389157872218,0.09574996993732053,"0.10061037450266674",1.7404557892467227
-9.955433653872825,0.03634742156509623,0.018173710782548116,0.9818262892174519,-2.228968664616151,"PSTG_L_to_MTG_L_pole",-0.3205973781540758,"1.0","0.8269425245976824","0.9861861733001598",0.32656746768816697,0.008251911270708491,"0.04093466264505818",2.9028145826307887
525.7624803425471,0.03703313268695363,0.9814834336565232,0.018516566343476815,2.220007000548599,"dorsal_ACC_L_to_LFOG_L",0.23031741887819068,"1.0","0.9852913228268686","0.9531145516593074",0.370791736991351,0.004407113847945577,"0.04093466264505818",3.1726199110839906
-2.1246914064334415,0.03919729023751204,0.01959864511875602,0.980401354881244,-2.1926808538746876,"PSTG_L_to_MTG_L",-0.2954707687129486,"1.0","0.8269425245976824","0.9861179808572279",0.3361241847317492,0.007218342929205456,"0.04093466264505818",2.960933832593498
7.137461639714736,0.040875792707031004,0.9795621036464845,0.020437896353515502,2.1724143613761044,"RG_L_to_LFOG_L",0.26213638758435076,"1.0","0.9843172594894286","0.9531145516593074",0.3507376373729976,0.005899365831559227,"0.04093466264505818",3.047969376166598
-187.73813056939207,0.04143514347294234,0.02071757173647117,0.9792824282635288,-2.165828001981259,"Caud_L_to_SPG_L",-0.48897049194917985,"1.0","0.8269425245976824","0.9859506938256346",0.22036761456153842,0.07326807107245578,"0.0777649488440927",1.8810403825910889
-8.0676799133718,0.044887388857152336,0.022443694428576168,0.9775563055714238,-2.1268720253974505,"PSTG_L_to_PoCG_L",-0.4921559194625541,"1.0","0.8269425245976824","0.9851711550792829",0.21445181838706523,0.08406828186592755,"0.08851543411112411",1.8094391484201973
-4.6153162378677,0.050166592655488056,0.025083296327744028,0.974916703672256,-2.07222940596237,"Ins_L_to_IFG_opercularis_L",-0.5027184779826938,"1.0","0.8269425245976824","0.9834686045816619",0.20022971514485455,0.11406087917705898,"0.11936603634808499",1.6455933770705973
-33.48772869612992,0.05358134967000719,0.026790674835003594,0.9732093251649964,-2.039570782548729,"Caud_L_to_SFG_pole_L",-0.31085643819240644,"1.0","0.8269425245976824","0.9827040502885573",0.31604211761239365,0.010972711826108407,"0.04093466264505818",2.7778684450000117
-40.60730057711845,0.05439146778926736,0.02719573389463368,0.9728042661053663,-2.03209640848091,"RG_L_to_SFG_pole_L",-0.28297974886693344,"1.0","0.8269425245976824","0.9827040502885573",0.3286933692474865,0.008935568190711295,"0.04093466264505818",2.868083566678983
-23.314656757816575,0.055252898722004534,0.027626449361002267,0.9723735506389978,-2.024256722498706,"Caud_L_to_rostral_ACC_L",-0.47710137458421387,"1.0","0.8269425245976824","0.9827040502885573",0.21838719724455097,0.08091316056177236,"0.08536709600553964",1.8294876314535493
-275.81316162576354,0.05718003848140979,0.028590019240704895,0.9714099807592951,-2.0071050308102034,"Caud_L_to_Cu_L",-0.4507029785994995,"1.0","0.8269425245976824","0.9827040502885573",0.2365401485347825,0.05569502797752532,"0.060171559453798235",2.0202752043299217
