"coef","pvalue","pvalue_left","pvalue_right","tscore","predictor","cor_coef","pvalue_adj","pvalue_left_adj","pvalue_right_adj"
-14.379761090369406,8.396281663865126e-10,4.198140831932563e-10,0.9999999995801859,-7.514505285113991,"PrCG_L_to_IFG_opercularis_L",-0.7248718523143685,"1.4916834004022784e-5","7.458417002011392e-6","0.9999999995801859"
-4.646693351859422,6.002726719925481e-9,3.0013633599627406e-9,0.9999999969986366,-6.97307329656361,"SLF_L_to_SMG_L",-0.6986228482724417,"5.332222145309805e-5","2.6661110726549024e-5","0.9999999995801859"
-3.3653612257168874,1.255998486023716e-7,6.27999243011858e-8,0.9999999372000757,-6.135791462663123,"SLF_L_to_PrCG_L",-0.6516828236892462,"0.0005293911377965249","0.00026469556889826244","0.9999999995801859"
-5.620695460069662,1.3133984620852748e-7,6.566992310426374e-8,0.999999934330077,-6.12343293885515,"SLF_L_to_SCR_L",-0.6509267029840918,"0.0005293911377965249","0.00026469556889826244","0.9999999995801859"
-32.11907549537467,1.4898996335599597e-7,7.449498167799798e-8,0.9999999255050184,-6.088547214738256,"SCR_L_to_SMG_L",-0.6487818265455193,"0.0005293911377965249","0.00026469556889826244","0.9999999995801859"
-8.116738051367882,4.6978281783096766e-7,2.3489140891548383e-7,0.9999997651085911,-5.769637958901927,"PrCG_L_to_MFG_L",-0.6284400106862098,"0.0013910269235974952","0.0006955134617987476","0.9999999995801859"
-2.5422335422762288,8.332688133136824e-7,4.166344066568412e-7,0.9999995833655934,-5.6094967080640465,"SLF_L_to_AG_L",-0.6177108631749991,"0.002114836248190126","0.001057418124095063","0.9999999995801859"
-9.561957649634985,1.163270016298015e-6,5.816350081490075e-7,0.9999994183649918,-5.515888419943889,"SMG_L_to_PrCG_L",-0.6112748417109369,"0.002583331888693817","0.0012916659443469084","0.9999999995801859"
-6.732599734817464,2.844817690923174e-6,1.422408845461587e-6,0.9999985775911545,-5.263344251353068,"SMG_L_to_PoCG_L",-0.5932895577308812,"0.005150341438061867","0.0025751707190309336","0.9999999995801859"
-25.075032248307092,2.8989876382201214e-6,1.4494938191100607e-6,0.9999985505061809,-5.257988553496925,"SLF_L_to_ACR_L",-0.5928981455356195,"0.005150341438061867","0.0025751707190309336","0.9999999995801859"
-7.0624899141463375,4.2619844166959725e-6,2.1309922083479862e-6,0.9999978690077916,-5.148276589663337,"IFG_triangularis_L_to_IFG_opercularis_L",-0.5847869954424313,"0.0068834922860927855","0.0034417461430463927","0.9999999995801859"
-115.66120100895203,7.358373809248469e-6,3.6791869046242347e-6,0.9999963208130954,-4.991770188053331,"ACR_L_to_PoCG_L",-0.5729053300981133,"0.010659037638583639","0.005329518819291819","0.9999999995801859"
-331.79815845477185,7.799588500595931e-6,3.8997942502979655e-6,0.9999961002057497,-4.975003755906663,"GCC_L_to_MTG_L",-0.571610497089963,"0.010659037638583639","0.005329518819291819","0.9999999995801859"
-5.217880279697706,1.007751979275576e-5,5.03875989637788e-6,0.9999949612401037,-4.901035542696297,"SLF_L_to_MFG_L",-0.5658468332881359,"0.01278837261700706","0.00639418630850353","0.9999999995801859"
-1381.6349089775333,1.0972618152192217e-5,5.486309076096108e-6,0.999994513690924,-4.876399447919014,"MCP_L_to_IFG_opercularis_L",-0.5639085224887268,"0.012995968939456462","0.006497984469728231","0.9999999995801859"
-6.157789373306041,1.174926802940846e-5,5.87463401470423e-6,0.9999941253659853,-4.856573745538957,"AG_L_to_SMG_L",-0.5623418833165724,"0.01304609348815442","0.00652304674407721","0.9999999995801859"
-5.425622761658932,1.3278643951423735e-5,6.6393219757118676e-6,0.9999933606780242,-4.821039161100172,"PLIC_L_to_ALIC_L",-0.5595186969319209,"0.013147897846131205","0.006573948923065603","0.9999999995801859"
-6.3015424993688685,1.3790667856613732e-5,6.895333928306866e-6,0.9999931046660717,-4.810035971075471,"EC_L_to_Put_L",-0.5586405321156834,"0.013147897846131205","0.006573948923065603","0.9999999995801859"
-7.314657210295622,1.4940889412059224e-5,7.470444706029612e-6,0.9999925295552939,-4.786713027220313,"SLF_L_to_PCR_L",-0.5567728995435959,"0.013147897846131205","0.006573948923065603","0.9999999995801859"
-42.876371118895094,1.537270742667591e-5,7.686353713337954e-6,0.9999923136462867,-4.7784094787997855,"EC_L_to_AG_L",-0.556105929584626,"0.013147897846131205","0.006573948923065603","0.9999999995801859"
-206.15350236955015,1.5959477405052567e-5,7.979738702526284e-6,0.9999920202612975,-4.767485758980291,"SPG_L_to_IFG_opercularis_L",-0.5552268590673353,"0.013147897846131205","0.006573948923065603","0.9999999995801859"
-12.897410334581126,1.6581685124791348e-5,8.290842562395674e-6,0.9999917091574376,-4.756324532316059,"Put_L_to_STG_L",-0.5543267494786737,"0.013147897846131205","0.006573948923065603","0.9999999995801859"
-19.92839042152679,1.7021369495723164e-5,8.510684747861582e-6,0.9999914893152522,-4.748682427132521,"PrCG_L_to_IFG_triangularis_L",-0.5537093192979187,"0.013147897846131205","0.006573948923065603","0.9999999995801859"
-118.87823386957365,2.8065472088598102e-5,1.4032736044299051e-5,0.9999859672639557,-4.601883190403115,"ALIC_L_to_Thal_R",-0.5416705047237106,"0.020775465713584747","0.010387732856792373","0.9999999995801859"
