"coef","pvalue","tscore","edge","cor_coef","pvalue_adj","pd_atw_pvalue","pd_atw_pvalue_adj","pd_atw_coef","pd_atw_tscore"
-15.673959248027067,1.0244485484899957e-5,-5.683642510771726,"UNC_R_to_MFG_DPFC_R",-0.7579971348840848,"0.130988518714076",0.046933296564626976,"0.14746517576078252",0.10758505828555871,2.105042846616369
-4.3206992921997465,1.4745977565470674e-5,-5.530120521168305,"UNC_R_to_ACR_R",-0.7932853828202217,"0.130988518714076",0.5893051925178472,"0.6251998119116251",0.030341158540185993,0.5478583897368984
-13.030559833596794,5.115121685269845e-5,-5.012196540460681,"ITG_R_to_MFG_DPFC_R",-0.7273106412118495,"0.30291750620168023",0.07900099147380822,"0.14746517576078252",0.1014474460363627,1.8419706296955671
-16.45081745389921,0.00011348564091625171,-4.684191707843772,"STG_R_pole_to_MFG_DPFC_R",-0.6514694007024131,"0.4203973421348749",0.015170703813755551,"0.14746517576078252",0.14862660189764362,2.633596654242367
-8.08232680636771,0.00011831513625320132,-4.667092451450165,"STG_R_to_MFG_DPFC_R",-0.6747271079079175,"0.4203973421348749",0.03137235574750634,"0.14746517576078252",0.13007258179303385,2.299039032881451
-13.375947586011069,0.000146246445313673,-4.580193946523247,"Hippo_R_to_MFG_DPFC_R",-0.6306085901533502,"0.43303572457378575",0.011430930157094076,"0.14746517576078252",0.15772065901063098,2.7597872539110697
-14.650336603135669,0.00025320757786984825,-4.355447280118858,"MTG_R_pole_to_MFG_DPFC_R",-0.6882653338528291,"0.6426408326336749",0.11659688670363383,"0.14813829653892546",0.09692218951684366,1.6334905560326376
-49.56381428232854,0.00033752485230657115,-4.237822447132431,"Hippo_R_to_SFG_PFC_R",-0.7118126358314103,"0.6713393307588548",0.46514719439780994,"0.49389224573700047",0.0470226421475545,0.7433290843351327
-6.816236083075866,0.00034009084638239855,-4.2347226678274446,"UNC_R_to_IFG_orbitalis_R",-0.665820161372184,"0.6713393307588548",0.07739347764335727,"0.14746517576078252",0.11050210184146947,1.8526696970170424
-1.6067137357947336,0.0003822544403342921,-4.1868819352445845,"Hippo_R_to_IFG_orbitalis_R",-0.6347461979496339,"0.6791132386979033",0.035754163653126926,"0.14746517576078252",0.13313466944352242,2.2368471540780903
-2.6425211699643603,0.00046322196003675305,-4.108204926256935,"SOG_L_to_SPG_R",-0.6567264334891318,"0.7481455765466322",0.08314563034235317,"0.14746517576078252",0.10979824011480531,1.8152335252700058
-3.453952205055624,0.0005674910358021192,-4.024992886651168,"LV_temporal_R_to_IFG_orbitalis_R",-0.6581326386778672,"0.814966309605308",0.10998845377981133,"0.14746517576078252",0.10211521485103535,1.665511237637841
-1.478692383799828,0.0006425402186189539,-3.974035379879264,"STG_R_to_IFG_orbitalis_R",-0.5805428136077829,"0.814966309605308",0.017021687507047942,"0.14746517576078252",0.15737144334967879,2.581678573225328
-9.273732162891848,0.0006691930704865681,-3.9573509378175675,"Hippo_R_to_IFG_triangularis_R",-0.6296165419406455,"0.814966309605308",0.05782421207490153,"0.14746517576078252",0.12237171714830637,2.001486397477044
-4.080196676947977,0.0006880836791669267,-3.945920220199086,"LV_temporal_R_to_EC_R",-0.572880662331669,"0.814966309605308",0.015559319603469823,"0.14746517576078252",0.1604629308972136,2.622220665961021
-2.1404666632832017,0.0007529157436380573,-3.908929148563065,"EC_R_to_Hippo_R",-0.549940641600026,"0.8237336786525916",0.010818552211978827,"0.14746517576078252",0.17185411120982105,2.78411295444187
-18.328168051544278,0.0008056939865228405,-3.8810767358091827,"LV_temporal_R_to_MFG_DPFC_R",-0.5823589761201943,"0.8237336786525916",0.02251610198744011,"0.14746517576078252",0.15084779636957088,2.4539092641087086
-12.791833917244352,0.0008724135134616897,-3.8483465507056454,"MTG_R_to_MFG_DPFC_R",-0.6574861119438496,"0.8237336786525916",0.18107890976216506,"0.19837503304153817",0.08736382335654559,1.381225905409267
-315.84177435133614,0.0008809489977709805,-3.8443393351476063,"SS_L_to_IFG_triangularis_R",-0.5942793284629799,"0.8237336786525916",0.03238045304531708,"0.14746517576078252",0.14085058953589397,2.284057525495968
112.69675532001472,0.0011397853302788255,3.7381574379209948,"CGC_R_to_NucAccumbens_R",0.5529357090875775,"1.0",0.017706070726339767,"0.14746517576078252",0.1603582877782136,2.5638161235916046
-539.4907648332983,0.0011969548040039744,-3.7179451915847634,"IOG_L_to_MFG_DPFC_R",-0.6547654349720617,"1.0",0.24718731821586146,"0.2650751925675774",0.07711892778037045,1.1888135757673193
4.692787472960835,0.0013393246036248936,3.671478220969179,"PoCG_R_to_SFG_R",0.49207571865603333,"1.0",0.007231998094733595,"0.14746517576078252",0.18981669105650317,2.960115299412062
-417.1783270828701,0.0013561653997185542,-3.6663069560279045,"Hippo_R_to_SFG_PFC_L",-0.5661450330783112,"1.0",0.027790915098581892,"0.14746517576078252",0.14805915752369794,2.3560987997473073
-2.3797570919938615,0.0014284532617452527,-3.6448049357858343,"ITG_R_to_IFG_orbitalis_R",-0.6389796312987497,"1.0",0.18351850098531694,"0.20072583195869856",0.08874849168851659,1.3732212229983347
-571.0929413849083,0.001495769461949338,-3.625723748395019,"Caud_L_to_PCC_R",-0.6274995586656268,"1.0",0.1374407271416185,"0.16026332097650264",0.09894931219505802,1.5415681240188968
-72.14118592657842,0.0017375022272486317,-3.5635450731540135,"LV_temporal_R_to_SFG_PFC_R",-0.6605185162182716,"1.0",0.5449335999595828,"0.578263668431606",0.04263351188902986,0.6148928960897542
