"coef","pvalue","tscore","edge","cor_coef","pvalue_adj","pd_adw_coef","pd_adw_pvalue","pd_adw_pvalue_adj","pd_adw_tscore"
-11.901260742658419,0.00018251432048327034,-4.489449058296004,"UNC_R_to_MFG_DPFC_R",-0.7061158994616857,"1.0",0.1964728700998216,0.04371499459079223,"0.05073760984516984",2.1397885681989144
-1.3600999960770215,0.00019037345827723281,-4.472187615062218,"PTR_R_to_SPG_R",-0.67405734732325,"1.0",0.23583514278323783,0.015947125629800725,"0.04498350319118213",2.6111316025868434
4.078953713065759,0.00027762091779747524,4.317780313112318,"PoCG_R_to_SFG_R",0.5066155046600488,"1.0",0.3701233547652788,0.0006049010952805367,"0.04498350319118213",3.9988065015479837
-16.09554969669176,0.00029151389318723676,-4.297797905116154,"Hippo_R_to_MFG_DPFC_R",-0.7202203467867203,"1.0",0.1528279562808013,0.12862015736688628,"0.13716703978510728",1.5789458997251187
-62.33668831227302,0.00032733067418764194,-4.250374137193835,"LV_temporal_R_to_SFG_PFC_R",-0.7338781935376161,"1.0",0.1127417225201554,0.2761440806715634,"0.2934898143820887",1.1167639018375461
-39.911363381869826,0.0003721073955921009,-4.197895852621982,"Hippo_R_to_SFG_PFC_R",-0.73184443229265,"1.0",0.10887117594205963,0.2975516839646343,"0.3162042838446999",1.066976869380032
-73.02979510919573,0.0006666397427721835,-3.9589204666631197,"PTR_L_to_IFG_triangularis_R",-0.5507510814927512,"1.0",0.31348047245876814,0.0031320865147522413,"0.04498350319118213",3.3171328808005276
108.87243979959608,0.0007048991271941392,3.9360041015010165,"III_and_IV_ventricle_to_AnsaLenticularis_L",0.5094093401267266,"1.0",0.34284564401045486,0.0016177096305991056,"0.04498350319118213",3.5932157402815275
-12.30768965969656,0.0007762125671364485,-3.8964037638597335,"STG_R_pole_to_MFG_DPFC_R",-0.6065661266717788,"1.0",0.2620394404872789,0.011732323524885555,"0.04498350319118213",2.7482654085747376
-0.3359728450556238,0.0009092826846893863,-3.8313074329070487,"SCC_R_to_SPG_R",-0.5910914606337788,"1.0",0.271178933431966,0.009751002272980513,"0.04498350319118213",2.8298304817613977
-19.132919707732174,0.0012383789118546025,-3.7038860550159,"LV_temporal_R_to_MFG_DPFC_R",-0.6669988655076555,"1.0",0.17487889468003204,0.1008426381698675,"0.10810827357747199",1.7126232369424632
-2.896522633323694,0.0014915434997690258,-3.626896529955524,"LV_temporal_R_to_IFG_orbitalis_R",-0.6724793237333118,"1.0",0.15601132346984478,0.15090544766577452,"0.16070168334413176",1.4881526512617038
-0.2471186937187576,0.0015575460802197193,-3.6089419033543093,"PTR_L_to_SCC_R",-0.6378785327740512,"1.0",0.20492700748347017,0.054591996518067634,"0.06094133899717183",2.0302616114927168
-4.341326326112917,0.0016958235738943326,-3.573633789639869,"LV_occipital_R_to_LV_atrium_R",-0.6488244613943038,"1.0",0.18702146287062077,0.08219427584724243,"0.08871588728445377",1.8212667641064821
-9.052521928943005,0.0018319202457861936,-3.541542013838916,"LV_occipital_R_to_PTR_L",-0.5981420076774555,"1.0",0.24195155281733477,0.023807202873628915,"0.04498350319118213",2.4281471974206696
-10.689091819377593,0.002047498140629851,-3.4952084267438117,"NucAccumbens_R_to_MTG_R_pole",-0.5257875247010837,"1.0",0.29927842904757973,0.00626874896513298,"0.04498350319118213",3.0218455909362465
-0.5008527803580153,0.0022092098731256123,-3.463489931693669,"Cu_L_to_SOG_R",-0.5740967495446345,"1.0",0.25778231032701315,0.01706375644737382,"0.04498350319118213",2.5805613238614415
-32.237886426081296,0.002289642248692329,-3.4485507055469173,"AnsaLenticularis_R_to_CP_R",-0.49850759920651283,"1.0",0.3157118008165162,0.004469402725475444,"0.04498350319118213",3.166649148376113
-359.2074373027051,0.002559546871061496,-3.401921661530303,"Hippo_R_to_SFG_PFC_L",-0.6017662162190311,"1.0",0.22630258965182373,0.03701631074127311,"0.04631217781868307",2.220225035272796
-17.680965268855424,0.002698005310073118,-3.3798349299452783,"LV_temporal_R_to_IFG_triangularis_R",-0.6065849511294275,"1.0",0.2192111925228909,0.04401297798871374,"0.050997274549476924",2.1364762685108594
-239.25269701135926,0.00285551016340411,-3.35601636458619,"SS_L_to_IFG_triangularis_R",-0.5609866385765852,"1.0",0.2605385276792459,0.017030452840127025,"0.04498350319118213",2.581445573843245
-8.711360992664698,0.0030301081636694613,-3.33106571354637,"ITG_R_to_MFG_DPFC_R",-0.6126938581983844,"1.0",0.2077699455497506,0.05815704047889751,"0.06439902649888389",1.998605145413364
-3.989049068944113,0.0031034874725088405,-3.3209951456761315,"Thal_R_to_Hippo_R",-0.6672431613236216,"1.0",0.11645144963055164,0.3184554613304128,"0.33835773733605135",1.0207753904636276
-4.57020453460211,0.003127275743618271,-3.317780161357497,"SS_R_to_PTR_L",-0.6333689981455278,"1.0",0.17999201322105796,0.10517120389831718,"0.11263316706597763",1.6898929457332943
-7.07639100892478,0.0031909706164649264,-3.309287609830134,"CGH_L_to_SPG_L",-0.4064994337345614,"1.0",0.366356299105531,0.0018035294633376297,"0.04498350319118213",3.548038884362913
2.1626311408012344,0.003234879861159099,3.30352864437943,"SPG_R_to_SFG_R",0.39355394996133003,"1.0",0.37408207222147966,0.0015823156708852752,"0.04498350319118213",3.602396281221991
-1.563433387217378,0.0032557841928292103,-3.300813587672321,"RLIC_R_to_STG_R",-0.6671816178707716,"1.0",0.1122353864022962,0.3397810523301059,"0.3609513379392885",0.9757814903585047
