"coef","pvalue","pvalue_left","pvalue_right","tscore","predictor","cor_coef","pvalue_adj","pvalue_left_adj","pvalue_right_adj","pd_atw_pvalue","pd_atw_pvalue_adj","pd_atw_coef","pd_atw_tscore"
-26.94435815790917,0.003267616981800777,0.0016338084909003885,0.9983661915090997,-3.299284251166691,"RG_L_to_MFG_DPFC_L",-0.22485173605196754,"0.5592699486258936","0.2892775596340829","0.9983661915090997",0.0012376665542920093,"0.13659038321099137",0.2992155362072018,3.7041238834329278
-406.7396105867164,0.0034081023154600896,0.0017040511577300448,0.9982959488422699,-3.2815277014930406,"Caud_L_to_Cu_L",-0.5328933896831738,"0.5592699486258936","0.2892775596340829","0.9983661915090997",0.03855136135045884,"0.13659038321099137",0.14377841711043646,2.2006902594987223
-3.9030007744866015,0.007866996424965831,0.0039334982124829155,0.9960665017875171,-2.9235993001716327,"PrCG_L_to_IFG_opercularis_L",-0.38820749624102374,"0.5592699486258936","0.2892775596340829","0.9979949945305714",0.011132151551469955,"0.13659038321099137",0.19388866681128966,2.771497054971438
-3.0164655350222254,0.009552306968074938,0.004776153484037469,0.9952238465159625,-2.8388625139024497,"MFG_DPFC_L_to_SFG_PFC_L",-0.39666968499221744,"0.5592699486258936","0.2892775596340829","0.9979949945305714",0.014900954538889987,"0.13659038321099137",0.18448961778467993,2.6416553813426424
-41.88303380583926,0.011653950142778724,0.005826975071389362,0.9941730249286106,-2.751234279925779,"Caud_L_to_STG_L_pole",-0.3704965240902314,"0.5592699486258936","0.2892775596340829","0.9979949945305714",0.013661273303141975,"0.13659038321099137",0.1902713827247022,2.680552857171955
-12.899017805978907,0.012195435599248544,0.006097717799624272,0.9939022822003757,-2.731096597011816,"SMG_L_to_IFG_opercularis_L",-0.24720397663479013,"0.5592699486258936","0.2892775596340829","0.9979949945305714",0.005160312702829807,"0.13659038321099137",0.24271499932906487,3.1053373820556294
-320.62478843912294,0.012749356701153347,0.0063746783505766735,0.9936253216494233,-2.7113539106525213,"dorsal_ACC_L_to_IOG_L",-0.4390377613703047,"0.5592699486258936","0.2892775596340829","0.9979949945305714",0.03406906492069483,"0.13659038321099137",0.1564673165507331,2.259893704562509
-15.606992672819526,0.012832407385125628,0.006416203692562814,0.9935837963074372,-2.708464027216014,"PSMG_L_to_PoCG_L",-0.29602537009936636,"0.5592699486258936","0.2892775596340829","0.9979949945305714",0.007643539929364362,"0.13659038321099137",0.2194549527768496,2.9361165239041322
-4.71760880897029,0.014829978625005331,0.0074149893125026655,0.9925850106874974,-2.643798592459866,"PSMG_L_to_IFG_orbitalis_L",-0.2810924798317128,"0.5592699486258936","0.2892775596340829","0.9979949945305714",0.00787348374967632,"0.13659038321099137",0.22110739715690195,2.9232410089123504
-100.25390739446871,0.015163668134027482,0.007581834067013741,0.9924181659329863,-2.633805125886439,"PSMG_L_to_MFG_L",-0.22074805355313987,"0.5592699486258936","0.2892775596340829","0.9979949945305714",0.005462757112865152,"0.13659038321099137",0.2468664359390758,3.080959311160836
-113.42301461880864,0.015273954745921697,0.0076369773729608485,0.9923630226270391,-2.630547680136699,"PSMG_L_to_MFG_DPFC_L",-0.2268534595432769,"0.5592699486258936","0.2892775596340829","0.9979949945305714",0.005693693504239736,"0.13659038321099137",0.24383911194500327,3.0632059618924288
-9.822407718243674,0.016090627428188526,0.008045313714094263,0.9919546862859058,-2.6070923889012296,"PSMG_L_to_PrCG_L",-0.2591393995610874,"0.5592699486258936","0.2892775596340829","0.9979949945305714",0.007315171971634636,"0.13659038321099137",0.22776668641703307,2.9551613618089387
-11.209415677376285,0.01754915612602786,0.00877457806301393,0.991225421936986,-2.5678537257577743,"PSTG_L_to_PoCG_L",-0.5041660690681223,"0.5592699486258936","0.2892775596340829","0.9979949945305714",0.13576143944060662,"0.15190604304975983",0.11000004805674009,1.5485281912526492
-203.53555052745781,0.01804651289430802,0.00902325644715401,0.990976743552846,-2.555170091166732,"Caud_L_to_Amyg_L",-0.3150616145393958,"0.5592699486258936","0.2892775596340829","0.9979949945305714",0.01250145957234527,"0.13659038321099137",0.2003423660600439,2.7200869884112184
-27.963976024401934,0.01867800506305494,0.00933900253152747,0.9906609974684726,-2.539528901523597,"Cu_L_to_IFG_orbitalis_L",-0.2618276953864294,"0.5592699486258936","0.2892775596340829","0.9979949945305714",0.008619787002524183,"0.13659038321099137",0.22142973178958067,2.883798514770598
-11.849044391102158,0.018953185168563362,0.009476592584281681,0.9905234074157183,-2.53286720865714,"PSMG_L_to_IFG_opercularis_L",-0.25696715774308543,"0.5592699486258936","0.2892775596340829","0.9979949945305714",0.008463952032228047,"0.13659038321099137",0.22297345063202728,2.8917573578894262
-146.81748949989367,0.01978346556145797,0.009891732780728985,0.990108267219271,-2.5133012336039338,"Hippo_L_to_MFG_DPFC_L",-0.2996546096419296,"0.5592699486258936","0.2892775596340829","0.9979949945305714",0.012054905374752551,"0.13659038321099137",0.2037235222216677,2.7362402377183406
-695.7277158096772,0.01989809897430957,0.009949049487154785,0.9900509505128452,-2.510660283599273,"AG_L_to_MFG_DPFC_L",-0.280392892633845,"0.5592699486258936","0.2892775596340829","0.9979949945305714",0.01045685222210029,"0.13659038321099137",0.21149006794362127,2.7991025455398866
-21.766860634972204,0.020400645285049365,0.010200322642524682,0.9897996773574753,-2.4992474471561885,"PSIG_L_to_IFG_orbitalis_L",-0.2701898952596555,"0.5592699486258936","0.2892775596340829","0.9979949945305714",0.009956301531224565,"0.13659038321099137",0.21487017776848477,2.820680469110957
