x,y,z,name
-16.6532,9.93371,6.794381,3ALIC_L
17.3709,9.27598,7.024851,3ALIC_R
-20.0301,-9.41893,9.498011,3PLIC_L
21.4136,-9.70229,9.928321,3PLIC_R
-28.557,-23.7748,6.956721,3RLIC_L
30.3728,-24.0843,7.195711,3RLIC_R
-29.431,3.45504,5.317311,3EC_L
30.287,3.88221,6.377691,3EC_R
-9.09299,1.5828,24.86591,3CGC_L
9.11732,3.18018,24.86771,3CGC_R
-19.5809,-32.0541,-6.57421,3CGH_L
20.5611,-31.8076,-5.090281,3CGH_R
-25.7319,-25.2404,-0.1775831,3Fx/ST_L
26.8344,-26.6882,1.18041,3Fx/ST_R
-3.85783,-11.1807,12.49881,3Fx_L
2.26923,-5.96833,11.61541,3Fx_R
-26.5622,10.137,-9.022631,3IFO_L
28.4903,11.7537,-9.453131,3IFO_R
-31.0969,-53.2459,7.933861,3PTR_L
29.7952,-56.1916,8.042041,3PTR_R
-36.8422,-33.2126,-8.632911,3SS_L
38.2188,-35.7106,-8.189271,3SS_R
-20.3455,7.9781,20.62291,3SFO_L
20.32,8.2053321.176,13,SFO_R
-35.3519,-28.983,23.14461,3SLF_L
34.5433,-25.4434,29.29761,3SLF_R
-30.6145,1.7259,-15.63551,3UNC_L
32.4533,1.38754,-15.43251,3UNC_R
-20.0234,-0.428094,-7.598661,3AnsaLenticularis_L
21.463,0.202572,-7.218651,3AnsaLenticularis_R
-5.26531,2.94898,-3.602041,3AnteriorCom_L
4.46226,3.49057,-3.518871,3AnteriorCom_R
-12.3131,-1.68051,-6.693291,3LenticularFasc_L
14.243,-1.72112,-6.589641,3LenticularFasc_R
-13.3409,5.93182,-8.886361,3OlfactoryRadiation_L
13.1364,6.25,-9.181821,3OlfactoryRadiation_R
3.17391,-7.95652,-11.72831,3Mammillary_L
-1.83486,-7.85321,-11.61471,3Mammillary_R
-11.3787,-4.6766,-12.02551,3OpticTract_L
11.7653,-3.73709,-12.39441,3OpticTract_R
-8.15706,14.4858,11.28371,3LV_frontal_L
-10.3438,-16.4452,21.07551,3LV_body_L
-24.7427,-42.4996,10.83881,3LV_atrium_L
-28.3696,-56.393,5.933851,3LV_occipital_L
-30.6073,-19.1644,-13.05941,3LV_temporal_L
8.5709,13.8955,11.52191,3LV_frontal_R
13.0776,-16.8522,20.97841,3LV_body_R
27.5162,-42.3464,10.60981,3LV_atrium_R
28.8387,-57.3871,6.193551,3LV_occipital_R
32.6235,-21.7899,-11.78721,3LV_temporal_R
2.4357,-36.9461,-24.1731,3III_and_IV_ventricle
-36.8758,-8.47618,2.430021,3PIns_L
38.151,-8.37485,1.73121,3PIns_R
-51.249,-33.7003,12.26371,3PSTG_L
51.6139,-34.4195,8.628641,3PSTG_R
-53.3545,-43.6665,2.629891,3PSMG_L
53.4496,-44.7718,1.30411,3PSMG_R
-53.6904,-41.7745,-17.69211,3PSIG_L
53.289,-43.9708,-17.48351,3PSIG_R
