"coef","pvalue","tscore","edge","edge_name","cor_coef","pvalue_adj"
-7.678760575528234,1.4519364352118485e-10,-8.038188057921767,"x10_24","IFG_opercularis_L -- PrCG_L",-0.7508310629630397,"2.57951027079737e-6"
-2.2426278770349772,1.9706214142137335e-7,-6.0293623777622685,"x28_154","SMG_L -- SLF_L",-0.648831822225537,"0.0017505030022460595"
-4.108550158509412,1.2219574954683196e-6,-5.516516889872621,"x6_24","MFG_L -- PrCG_L",-0.6151069442664404,"0.007236432288163389"
-1.2944009406677273,1.6495668554268786e-6,-5.431435174440392,"x30_154","AG_L -- SLF_L",-0.6091576506959311,"0.007326551188378481"
-1.6099375752214296,2.528749488772138e-6,-5.309829328182113,"x24_154","PrCG_L -- SLF_L",-0.6004723975375751,"0.0076907431212692775"
-4.841913445275331,2.5973465455147846e-6,-5.302190818911714,"x24_28","PrCG_L -- SMG_L",-0.5999196154342383,"0.0076907431212692775"
-3.5583436767889944,8.50311287073759e-6,-4.961020912284483,"x10_14","IFG_opercularis_L -- IFG_triangularis_L",-0.5743379413121338,"0.018990978152279174"
-18.63237168814597,1.0205541395060113e-5,-4.907986397962257,"x52_96","MOG_L -- CP_L",-0.5702016191877886,"0.018990978152279174"
-14.467557479335406,1.0747795468962634e-5,-4.892912773302332,"x28_118","SMG_L -- SCR_L",-0.5690179961308133,"0.018990978152279174"
-108.26604413352636,1.2349833104998804e-5,-4.852391765146817,"x10_26","IFG_opercularis_L -- SPG_L",-0.5658185700789733,"0.018990978152279174"
-2.5212303560532794,1.25443560681353e-5,-4.847827823703523,"x118_154","SCR_L -- SLF_L",-0.5654566020260083,"0.018990978152279174"
-6.735663241991885,1.2827408410860638e-5,-4.841309481986233,"x34_78","STG_L -- Put_L",-0.5649390625783337,"0.018990978152279174"
-2.7862917984618742,1.5322870010524957e-5,-4.789287270650344,"x130_132","ALIC_L -- PLIC_L",-0.5607846637085494,"0.020799804950608167"
-3.2890907465889447,1.740476174130423e-5,-4.751900052219706,"x22_28","PoCG_L -- SMG_L",-0.5577725763018272,"0.020799804950608167"
-1.6918252504226454,1.86046989638037e-5,-4.732298537813295,"x116_130","ACR_L -- ALIC_L",-0.5561845230737209,"0.020799804950608167"
-10.30612755853875,1.8732234560943974e-5,-4.730288580807123,"x14_24","IFG_triangularis_L -- PrCG_L",-0.5560213371639589,"0.020799804950608167"
-3.1977012095240207,2.3408844214361595e-5,-4.6645701900644125,"x78_136","Put_L -- EC_L",-0.5506502222189086,"0.024463619194844004"
-686.8611208780878,3.5423918058914984e-5,-4.5416080997278225,"x23_130","PoCG_R -- ALIC_L",-0.5404141639268776,"0.03496340712414909"
-22.902061109036712,4.326395675436748e-5,-4.48186523734905,"x130_185","ALIC_L -- PSMG_L",-0.5353523322322314,"0.04045407661568909"
-3.0172528750064322,4.6322587248211405e-5,-4.4613901466788795,"x28_30","SMG_L -- AG_L",-0.5336041318008453,"0.041148354252586186"
-3.6099336555128865,5.6508583796761653e-5,-4.401623321819546,"x120_154","PCR_L -- SLF_L",-0.5284618065871479,"0.04780626189206036"
-11.466743136884991,6.040203084634423e-5,-4.381523009920003,"x116_154","ACR_L -- SLF_L",-0.5267191753645024,"0.04877738545527962"
-1.6588156787343256,7.166121212276689e-5,-4.32980483031789,"x78_150","Put_L -- SS_L",-0.5222047070739992,"0.05535361280752507"
-2.2426130760711973,7.530628905709013e-5,-4.314750197665822,"x121_126","PCR_R -- SCC_L",-0.5208822699104414,"0.055745480474510965"
-5.465507901220994,8.38717695328792e-5,-4.2819946229615296,"x130_150","ALIC_L -- SS_L",-0.5179919367944299,"0.059602634300845274"
-122.78022221564424,9.828878671092334e-5,-4.233589787074812,"x79_142","Put_R -- Fx/ST_L",-0.5136880254470482,"0.067161484027164"
-72.78651228284093,0.00010707527911237885,-4.207372761211671,"x8_24","MFG_DPFC_L -- PrCG_L",-0.5113406133991548,"0.0690544017497691"
-16.088959834395858,0.00011146662850164686,-4.195043947341875,"x36_130","STG_L_pole -- ALIC_L",-0.5102327449970105,"0.0690544017497691"
-3.803421189964546,0.00011523138950173189,-4.184844299289447,"x78_146","Put_L -- IFO_L",-0.5093142794368974,"0.0690544017497691"
-56.99123496125271,0.0001270125623067862,-4.154897168687483,"x83_130","Thal_R -- ALIC_L",-0.5066074973041099,"0.0690544017497691"
-1.494379460251098,0.0001303504822816116,-4.1469022297191644,"x82_130","Thal_L -- ALIC_L",-0.5058823256633965,"0.0690544017497691"
-6.554766328374046,0.00013055870219178648,-4.146410109940744,"x52_82","MOG_L -- Thal_L",-0.5058376534224733,"0.0690544017497691"
-1.353314886281756,0.00013461105813588215,-4.13698117549538,"x78_116","Put_L -- ACR_L",-0.5049809543904578,"0.0690544017497691"
-359.63349716205835,0.0001384100094089885,-4.128388687026288,"x52_92","MOG_L -- Snigra_L",-0.5041989516297259,"0.0690544017497691"
-4.265862046090045,0.00013890101530221173,-4.127294863038177,"x24_185","PrCG_L -- PSMG_L",-0.5040993135379214,"0.0690544017497691"
7.340299581176628,0.00014020304372858652,4.124412366065875,"x119_121","SCR_R -- PCR_R",0.5038366460639979,"0.0690544017497691"
29.7024385255657,0.00014381475091418758,4.116550434827032,"x53_99","MOG_R -- Midbrain_R",0.5031195168301205,"0.0690544017497691"
-473.4194112350206,0.00014998143380452538,-4.103559162555308,"x96_182","CP_L -- PIns_R",-0.5019322315243304,"0.07012026718345259"
-2.370551492577217,0.00016097853108768673,-4.081626744752329,"x6_154","MFG_L -- SLF_L",-0.49992135050788433,"0.07089398408195491"
-3.642289857499457,0.00016312554473765849,-4.077514757020451,"x24_30","PrCG_L -- AG_L",-0.4995434382217284,"0.07089398408195491"
-6.263768927257548,0.00017441591218429116,-4.056718656923645,"x78_185","Put_L -- PSMG_L",-0.49762779903194104,"0.07089398408195491"
-430.8131416714118,0.00017474796883555792,-4.056126970842856,"x50_92","SOG_L -- Snigra_L",-0.49757318878785917,"0.07089398408195491"
-5.872987318937278,0.00017700987397177462,-4.0521252549526245,"x10_30","IFG_opercularis_L -- AG_L",-0.49720369116626006,"0.07089398408195491"
-661.0382802976308,0.00018576063708579719,-4.037096283129409,"x130_155","ALIC_L -- SLF_R",-0.49581357599539333,"0.07089398408195491"
-679.0706656448143,0.00018617614420502536,-4.036399832642139,"x29_130","SMG_R -- ALIC_L",-0.49574906469476565,"0.07089398408195491"
-443.0970785766303,0.00018926624550734975,-4.031267083024346,"x93_152","Snigra_R -- SFO_L",-0.495273371632869,"0.07089398408195491"
-391.70311729929796,0.00019150029392878465,-4.027606533045362,"x12_53","IFG_orbitalis_L -- MOG_R",-0.49493384671639223,"0.07089398408195491"
-0.8082455465093673,0.00019154065270369445,-4.027540784851511,"x142_148","Fx/ST_L -- PTR_L",-0.4949277463377728,"0.07089398408195491"
-146.82934237761947,0.00021395763494120394,-3.9929464831406887,"x38_122","MTG_L -- GCC_L",-0.491707793683398,"0.07525355805997076"
-11.005890142300029,0.00021529932396929357,-3.9909888064030308,"x24_183","PrCG_L -- PSTG_L",-0.4915249714502791,"0.07525355805997076"
-12.613076106625595,0.00022024836940407215,-3.983868187723505,"x92_116","Snigra_L -- ACR_L",-0.4908594474639225,"0.07525355805997076"
-283.6255949650466,0.00022026258128551615,-3.983847963478481,"x8_120","MFG_DPFC_L -- PCR_L",-0.4908575559928668,"0.07525355805997076"
-2.5216487207579954,0.00022948663377931182,-3.970980674391616,"x30_185","AG_L -- PSMG_L",-0.48965273643568347,"0.07692565161741989"
-852.2579678372724,0.00023537188538000597,-3.963029621450939,"x2_143","SFG_PFC_L -- Fx/ST_R",-0.48890683996506484,"0.07743735029002197"
-50.576612231430914,0.0002444691332668723,-3.9511093731192597,"x22_116","PoCG_L -- ACR_L",-0.48778657721164126,"0.0786712557961976"
1.0613891026586824,0.00024797874167438173,3.9466249065576533,"x25_155","PrCG_R -- SLF_R",0.48736450274857684,"0.0786712557961976"
-166.36631741455193,0.0002622422451072478,-3.929008902168048,"x108_116","ICP_L -- ACR_L",-0.4857031882984613,"0.0814804459697277"
-38.523782012647786,0.00027445849975277334,-3.9146418660458395,"x119_130","SCR_R -- ALIC_L",-0.484344365808696,"0.0814804459697277"
-6.066510474633088,0.0002848277605557515,-3.902923290093598,"x120_148","PCR_L -- PTR_L",-0.4832334304169996,"0.0814804459697277"
-1.4642268804988443,0.00028510933792251915,-3.902610846150293,"x12_78","IFG_orbitalis_L -- Put_L",-0.48320377833720524,"0.0814804459697277"
-11.383521451622764,0.0002856496880060707,-3.9020120957364948,"x34_130","STG_L -- ALIC_L",-0.4831469500731924,"0.0814804459697277"
-10.709669770700492,0.00028737596855069817,-3.900106536780458,"x80_148","GP_L -- PTR_L",-0.4829660500822014,"0.0814804459697277"
868.7836250837004,0.00028893775166570105,3.898392050040438,"x19_25","MFOG_R -- PrCG_R",0.4828032362389481,"0.0814804459697277"
-227.5094667746307,0.0003020618446954254,-3.8843280897526316,"x8_26","MFG_DPFC_L -- SPG_L",-0.48146578117923977,"0.08223398263871819"
-40.850794681464066,0.00030550768110206776,-3.880733183391961,"x28_38","SMG_L -- MTG_L",-0.4811233716109304,"0.08223398263871819"
-6.365578659987923,0.0003130242641060406,-3.8730252030212724,"x98_116","Midbrain_L -- ACR_L",-0.4803884550147804,"0.08223398263871819"
268.1843802122568,0.00031667244356855905,3.869348233644198,"x19_155","MFOG_R -- SLF_R",0.48003751778665105,"0.08223398263871819"
-1.826203412707993,0.0003232684592862499,-3.8628026348277964,"x82_116","Thal_L -- ACR_L",-0.47941222218766993,"0.08223398263871819"
-605.0440901459167,0.00032344325302845656,-3.862630933691685,"x10_104","IFG_opercularis_L -- MCP_L",-0.4793958098827567,"0.08223398263871819"
