"coef","pvalue","tscore","edge","edge_name","cor_coef","pvalue_adj","pd_adw_coef","pd_adw_pvalue","pd_adw_pvalue_adj","pd_adw_tscore"
-198.22328168599097,0.020425674432656946,-2.5423036468170674,"x66_74","dorsal_ACC_L -- Hippo_L",-0.4332446971249755,"1.0",0.22879498426713388,0.002223510734828206,"0.011883827066732211",3.562850234682222
-1.7972208756557557,0.025318718605420242,-2.4388672115747925,"x48_50","FuG_L -- SOG_L",-0.5105987311462169,"1.0",0.20231894968734143,0.006784343937988506,"0.011883827066732211",3.057245982045417
-3.887004019558125,0.0280120316377883,-2.38970739603786,"x26_48","SPG_L -- FuG_L",-0.5413807945668827,"1.0",0.1902744515580805,0.011613865792291641,"0.013195026465184136",2.8088667946560917
-0.5792881974228699,0.03350117026512694,-2.301868917917467,"x42_48","ITG_L -- FuG_L",-0.34055319339791323,"1.0",0.24504855120790098,0.0015788865595609367,"0.011883827066732211",3.7166831345591347
38.32151726461306,0.03372861052452701,2.2985259081144878,"x16_76","LFOG_L -- Caud_L",0.39839413907648996,"1.0",0.23038346978556745,0.0025521941121233365,"0.011883827066732211",3.5007992499466165
46.677120490308944,0.03703519662977205,2.252145686081754,"x18_66","MFOG_L -- dorsal_ACC_L",0.2973443163600505,"1.0",0.25366667073723304,0.0012935283287554432,"0.011883827066732211",3.806154129356102
-1.2506175996694926,0.039415089946712153,-2.221074675561888,"x26_185","SPG_L -- PSMG_L",-0.48465093928485475,"1.0",0.20413685691181024,0.007405505134565477,"0.011883827066732211",3.017051702194788
0.40889153127164646,0.03950835977220063,2.219892510779611,"x58_185","LG_L -- PSMG_L",0.2538828606260569,"1.0",0.26263582308450667,0.0010730481854948838,"0.011883827066732211",3.8900069824701933
28.501335141274016,0.04120526557396208,2.1988211113562444,"x8_66","MFG_DPFC_L -- dorsal_ACC_L",0.2740299188926433,"1.0",0.25711216857207925,0.0012432784905192494,"0.011883827066732211",3.8239336040636744
-18.212726590426396,0.04148230337542944,-2.1954569391159144,"x12_36","IFG_orbitalis_L -- STG_L_pole",-0.3232016270990021,"1.0",0.24547807307229907,0.0017009968552985013,"0.011883827066732211",3.683234690993074
-0.5601343007203811,0.044473420391238645,-2.1603907913332545,"x42_187","ITG_L -- PSIG_L",-0.4990023271368008,"1.0",0.19800971648892696,0.00996748765162679,"0.01280331772883254",2.879950629718317
-32.901997496505075,0.04605627636901493,-2.1426989480764482,"x8_42","MFG_DPFC_L -- ITG_L",-0.32458718001688447,"1.0",0.24330179232022975,0.0018908760392036877,"0.011883827066732211",3.63569888177411
74.07630170777676,0.04653068099609617,2.137504595745173,"x4_80","SFG_pole_L -- GP_L",0.26595722933352167,"1.0",0.25659656733316927,0.0013289880666620352,"0.011883827066732211",3.794018181092149
-442.0389092955508,0.04697627396159889,-2.132669535814218,"x8_72","MFG_DPFC_L -- Amyg_L",-0.3270600592889835,"1.0",0.24237724676985847,0.001958989130858586,"0.011883827066732211",3.6197966653683173
-0.4896609465237016,0.04919202791559654,-2.1092304636801775,"x42_185","ITG_L -- PSMG_L",-0.5260647655917489,"1.0",0.18768921775526054,0.015927678833326492,"0.016838761585794608",2.6606052618674396
-3.0848467731250784,0.0537464216357779,-2.0639228427537795,"x26_187","SPG_L -- PSIG_L",-0.49441657510014736,"1.0",0.1968275451735684,0.011229726357959111,"0.012968509699750233",2.8245416389845093
-262.53725481745613,0.054166895542675765,-2.0599173662232944,"x2_72","SFG_PFC_L -- Amyg_L",-0.4303337426547484,"1.0",0.21486302857330253,0.005400902362079864,"0.011883827066732211",3.161454582147238
-0.33509523278171627,0.05666636621066268,-2.036671704143328,"x26_52","SPG_L -- MOG_L",-0.4648397686186861,"1.0",0.2048442172800968,0.008211003364944224,"0.012012206050241826",2.9695500751594084
3.4720683327676394,0.05675943783130271,2.035824126689151,"x64_76","subgenual_ACC_L -- Caud_L",0.21629287262973754,"1.0",0.2636182438579611,0.0012497294179810603,"0.011883827066732211",3.8216113576852084
-1.2260122799247106,0.05872316446309774,-2.0182269831526045,"x42_50","ITG_L -- SOG_L",-0.449666667682994,"1.0",0.2085572657840977,0.007148398075895357,"0.011883827066732211",3.033275497719102
-1.3938930862484638,0.060848734752995425,-1.9997668698263893,"x54_56","IOG_L -- Cu_L",-0.4826822193728733,"1.0",0.19870694183029905,0.010872011949826305,"0.01280331772883254",2.8396091824019027
3.180518392442876,0.0608549149740231,1.9997140466265673,"x0_8","SFG_L -- MFG_DPFC_L",0.257600961370574,"1.0",0.25317154322616037,0.0016215091945090483,"0.011883827066732211",3.7047239109801247
567.5464699928067,0.06278724029838788,1.9834297044565548,"x48_60","FuG_L -- rostral_ACC_L",0.27123130716225347,"1.0",0.24960833397866836,0.0017958772716284168,"0.011883827066732211",3.6588562695204496
-161.07463276488198,0.06280045133018514,-1.9833199268073027,"x22_72","PoCG_L -- Amyg_L",-0.2330413944648618,"1.0",0.2578433811287633,0.0014761946748374111,"0.011883827066732211",3.746872228026025
1752.4599535572659,0.06338877968577131,1.9784520493131634,"x40_60","MTG_L_pole -- rostral_ACC_L",0.2369136785344926,"1.0",0.2568184451150325,0.0015161864598519231,"0.011883827066732211",3.7348737534533196
1180.5206013376487,0.06338877968577139,1.9784520493131628,"x46_70","ENT_L -- Ins_L",0.2369136785344926,"1.0",0.2568184451150325,0.0015161864598519231,"0.011883827066732211",3.7348737534533196
905.4964339058878,0.06338877968577143,1.9784520493131625,"x20_46","RG_L -- ENT_L",0.23691367853449266,"1.0",0.2568184451150324,0.0015161864598519303,"0.011883827066732211",3.734873753453318
