"coef","pvalue","tscore","edge","edge_name","cor_coef","pvalue_adj","pd_adw_coef","pd_adw_pvalue","pd_adw_pvalue_adj","pd_adw_tscore"
-0.5958625397774975,0.0029241483272403937,-3.9077081315209763,"x56_68","Cu_L -- PCC_L",-0.592912668292417,"1.0",0.998300102206506,0.0007193811818023159,"0.016622133136544967",4.80392078388232
-1.005586505809512,0.0050616923487778725,-3.5740309521142852,"x56_140","Cu_L -- CGH_L",-0.4789302130427542,"1.0",1.1038135254611463,0.0005048202273149403,"0.016622133136544967",5.042434385890818
24.86678752710245,0.007869324044300886,3.3107522322364367,"x86_170","Mynert_L -- LV_frontal_L",0.7527945432792648,"1.0",0.7186517221383508,0.016195434017675932,"0.019847151682160155",2.886810330307534
88.16956823617691,0.008710572726828507,3.2506723295290367,"x158_180","AnsaLenticularis_L -- III_and_IV_ventricle",0.7454096153386903,"1.0",0.7281268548034856,0.01565612165125697,"0.019564674831475615",2.9065813202796624
-23.853266739837117,0.010867262843512627,-3.120362848348994,"x100_102","CST_L -- SCP_L",-0.10776426714785539,"1.0",1.4360909247844957,0.00029296744302396565,"0.016622133136544967",5.420096057596777
13.617545631832279,0.013568003536817369,2.990243751280076,"x64_170","subgenual_ACC_L -- LV_frontal_L",0.12080185136641765,"1.0",1.4038527810913617,0.000367579007709025,"0.016622133136544967",5.2609079247956725
-45.13894679436375,0.013964572293075303,-2.973392388432291,"x132_144","PLIC_L -- Fx_L",-0.4373154007775874,"1.0",1.0962188919645368,0.0010482800432693473,"0.016622133136544967",4.5561816700514495
-1.1854084251733699,0.01527742105514069,-2.9208806370143177,"x26_50","SPG_L -- SOG_L",-0.5266154267797002,"1.0",1.00185045346846,0.0020534619180554354,"0.016622133136544967",4.127164909413373
-4.573114782299341,0.01631432659127275,-2.882541391850528,"x102_106","SCP_L -- PCT_L",-0.626976178084214,"1.0",0.8832970939870981,0.005486677300195777,"0.016622133136544967",3.5256274777917884
24.862881773009924,0.01840744950171805,2.812132047313062,"x18_130","MFOG_L -- ALIC_L",0.18310894303913847,"1.0",1.316917182781212,0.000542356141941565,"0.016622133136544967",4.99368982222817
-9.50498700865052,0.021018893499609947,-2.7348173080234126,"x26_140","SPG_L -- CGH_L",-0.6113653808604941,"1.0",0.8909573704356554,0.005942401815613687,"0.016622133136544967",3.4778632459924164
63.900980307777346,0.025982324621269304,2.6113098554185608,"x16_76","LFOG_L -- Caud_L",0.46425259046147554,"1.0",1.0368547637968817,0.0022201743377964554,"0.016622133136544967",4.078367776105033
19.52741738722484,0.028666193684644133,2.554009086096014,"x70_130","Ins_L -- ALIC_L",0.45366799042506667,"1.0",1.04140717052682,0.0022843689197577853,"0.016622133136544967",4.060597373169492
-0.7832842063531603,0.029011568187703667,-2.547025272721377,"x140_148","CGH_L -- PTR_L",-0.5347730352946545,"1.0",0.9614538213529032,0.004042050550885582,"0.016622133136544967",3.709889206040381
-724.376399370953,0.030722345207041805,-2.5136025989210777,"x26_164","SPG_L -- OlfactoryRadiation_L",-0.5054045664183398,"1.0",0.9881943580022441,0.0034221054747495617,"0.016622133136544967",3.8112662478071586
451.4698292544166,0.03106235127224555,2.507179888416953,"x95_158","cerebellum_L -- AnsaLenticularis_L",0.6724594160052301,"1.0",0.7889549987458714,0.017853381941918045,"0.021223469214766793",2.8299517768551166
-8.804617483960062,0.03307268556290002,-2.470567946613276,"x4_122","SFG_pole_L -- GCC_L",-0.6230889854017708,"1.0",0.8545153478027581,0.010434531776559326,"0.016622133136544967",3.144247111119809
-727.8717526175503,0.0332318591416732,-2.467763581873507,"x68_164","PCC_L -- OlfactoryRadiation_L",-0.49900999602905,"1.0",0.9903474811984149,0.0035227227249389863,"0.016622133136544967",3.793568945685198
-1.771298654930162,0.03339445219045793,-2.464912605375798,"x78_80","Put_L -- GP_L",-0.047396310545021164,"1.0",1.3938861804759841,0.0008035935996634901,"0.016622133136544967",4.730479906973497
-4.382796837544846,0.03621298178680185,-2.4175498791990857,"x44_68","PHG_L -- PCC_L",-0.421198596856564,"1.0",1.057581239479639,0.0023669635867572822,"0.016622133136544967",4.038489920252538
-195.9103300551088,0.03708407388014558,-2.4036430879157566,"x4_138","SFG_pole_L -- CGC_L",-0.5467108694478297,"1.0",0.9366989620704703,0.005619740837181069,"0.016622133136544967",3.511268560299314
-114.3426967046707,0.03754258793528575,-2.396451197080624,"x66_158","dorsal_ACC_L -- AnsaLenticularis_L",-0.5082549533741829,"1.0",0.9749512585941191,0.004220749591669504,"0.016622133136544967",3.6836659076104716
3.98691257314436,0.0376794020161353,2.3943219122159616,"x16_86","LFOG_L -- Mynert_L",0.38203179402068455,"1.0",1.0893506427727475,0.00201831395801698,"0.016622133136544967",4.137984224725072
-6.998150660922327,0.03792839174590325,-2.3904661666745888,"x6_24","MFG_L -- PrCG_L",-0.6879672682391756,"1.0",0.7537624105041006,0.02695692845885661,"0.030272305223539932",2.5898493012712493
-67.8618920038548,0.03812086713596689,-2.387502533181259,"x4_20","SFG_pole_L -- RG_L",-0.534979518773174,"1.0",0.9474570437005061,0.0052445465956086,"0.016622133136544967",3.5527069395534
-10.788846927164768,0.03931516186999215,-2.3694345449017424,"x140_185","CGH_L -- PSMG_L",-0.5882705402647744,"1.0",0.8882805518672032,0.008610701639116031,"0.016622133136544967",3.257485258797108
-4091.513132314769,0.039821171132455216,-2.3619407600584394,"x62_80","subcallosal_ACC_L -- GP_L",-0.5652814280483949,"1.0",0.9133620898762629,0.007048167151860262,"0.016622133136544967",3.3761451004521374
