"coef","pvalue","tscore","edge","edge_name","cor_coef","pvalue_adj","pd_atw_pvalue","pd_atw_pvalue_adj","pd_atw_coef","pd_atw_tscore"
-26.944358157943636,0.003267616981793417,-3.29928425116764,"x8_20","MFG_DPFC_L -- RG_L",-0.22485173605193703,"0.8135271851118574",0.0012376665542890508,"0.14212893732200418",0.2992155362072945,3.7041238834339163
125.24835402152613,0.0033863481913834915,3.2842301918197894,"x158_180","AnsaLenticularis_L -- III_and_IV_ventricle",0.4776593200696462,"0.8135271851118574",0.01507239552252287,"0.14212893732200418",0.174126961566945,2.63651787094445
-406.73961058667044,0.003408102315472083,-3.2815277014915547,"x56_76","Cu_L -- Caud_L",-0.532893389683102,"0.8135271851118574",0.03855136135055183,"0.14212893732200418",0.14377841711038164,2.2006902594975606
28.91021488270284,0.0038098797042100795,3.2344167987335304,"x86_170","Mynert_L -- LV_frontal_L",0.6179927946163227,"0.8135271851118574",0.33924544157982306,"0.3549873205188446",0.06790897162942573,0.9768873128356002
-4.186981868821036,0.007427727932633409,-2.948542654319259,"x76_122","Caud_L -- GCC_L",-0.5454433502707504,"0.8135271851118574",0.11658841833352371,"0.14309161293545447",0.1115461545005532,1.6335306007245536
-3.903000774488027,0.00786699642493511,-2.92359930017333,"x10_24","IFG_opercularis_L -- PrCG_L",-0.38820749624122425,"0.8135271851118574",0.011132151551450831,"0.14212893732200418",0.19388866681131117,2.771497054972197
-1674.0335465323121,0.008064412303918208,-2.9128206496828417,"x60_142","rostral_ACC_L -- Fx/ST_L",-0.4651678316159494,"0.8135271851118574",0.030745334252144613,"0.14212893732200418",0.15681299449424657,2.3085814767453896
-322.8200344419878,0.008527404015522846,-2.8884999671638734,"x12_100","IFG_orbitalis_L -- CST_L",-0.2772627084769824,"0.8135271851118574",0.00443914747010989,"0.14212893732200418",0.24115479151842123,3.169539168494612
-174.8057954671277,0.008847401357422053,-2.872417200832094,"x8_142","MFG_DPFC_L -- Fx/ST_L",-0.2104747283617,"0.8135271851118574",0.0030523514813440783,"0.14212893732200418",0.271628070717438,3.3279881818673083
-46.468229824511376,0.009292316423549466,-2.8509549996998476,"x160_170","AnteriorCom_L -- LV_frontal_L",-0.546955758542009,"0.8135271851118574",0.15611087450729655,"0.17131478458371704",0.10213667619947463,1.4685431527726536
-3.016465535011141,0.009552306968170754,-2.8388625138980514,"x2_8","SFG_PFC_L -- MFG_DPFC_L",-0.39666968499194083,"0.8135271851118574",0.014900954538993866,"0.14212893732200418",0.18448961778451464,2.6416553813395125
-2.0799492282805856,0.009736480906504339,-2.830484612139548,"x10_154","IFG_opercularis_L -- SLF_L",-0.24257502657906818,"0.8135271851118574",0.004020154948788617,"0.14212893732200418",0.2527203143992201,3.2116509744625477
-10.66476589719794,0.010931644801282945,-2.7795237592702535,"x42_130","ITG_L -- ALIC_L",-0.32405073982840515,"0.8135271851118574",0.008217665305773008,"0.14212893732200418",0.21241002997096556,2.904625819677864
-1.1537748686599547,0.01128740380329444,-2.7653756699128773,"x50_140","SOG_L -- CGH_L",-0.48099380221642135,"0.8135271851118574",0.055983442958958275,"0.14212893732200418",0.13860416238970974,2.0176930740967487
-13.626477375527994,0.011623414967245812,-2.752396111419553,"x42_86","ITG_L -- Mynert_L",-0.3698139881393,"0.8135271851118574",0.0135284629793659,"0.14212893732200418",0.1906480216887,2.6849156384498287
-41.883033805832795,0.01165395014274974,-2.7512342799268805,"x36_76","STG_L_pole -- Caud_L",-0.3704965240902736,"0.8135271851118574",0.01366127330311391,"0.14212893732200418",0.19027138272475774,2.6805528571728723
-12.899017805968768,0.012195435599251268,-2.731096597011717,"x10_28","IFG_opercularis_L -- SMG_L",-0.24720397663480384,"0.8135271851118574",0.005160312702831361,"0.14212893732200418",0.24271499932905108,3.105337382055501
-23.175512479257634,0.012562240314095252,-2.717930710199307,"x130_185","ALIC_L -- PSMG_L",-0.23821105227869033,"0.8135271851118574",0.005026804848714013,"0.14212893732200418",0.24575318370630284,3.1165403544684454
-320.6247884399595,0.012749356701124108,-2.711353910653542,"x54_66","IOG_L -- dorsal_ACC_L",-0.43903776137087297,"0.8135271851118574",0.03406906492087882,"0.14212893732200418",0.1564673165505266,2.259893704559936
-15.461662933910977,0.012805667114854717,-2.709392563546282,"x36_86","STG_L_pole -- Mynert_L",-0.37919135110100355,"0.8135271851118574",0.016478143110505272,"0.14212893732200418",0.1836594921614351,2.596351479255003
-15.60699267279549,0.012832407385140866,-2.708464027215485,"x22_185","PoCG_L -- PSMG_L",-0.29602537009933794,"0.8135271851118574",0.007643539929371633,"0.14212893732200418",0.2194549527768232,2.93611652390372
-17.033440724312886,0.01287104016925865,-2.707125757002614,"x76_152","Caud_L -- SFO_L",-0.2648385408066272,"0.8135271851118574",0.0061059740113325435,"0.14212893732200418",0.2329690147044611,3.0331698546764887
-22.321169737612113,0.013461605696235805,-2.6871272013231025,"x8_150","MFG_DPFC_L -- SS_L",-0.18771710731707772,"0.8135271851118574",0.004113676992672342,"0.14212893732200418",0.26692225484087745,3.2018943811225995
-4.717608808970052,0.014829978625000195,-2.6437985924600214,"x12_185","IFG_orbitalis_L -- PSMG_L",-0.2810924798316949,"0.8135271851118574",0.0078734837496726,"0.14212893732200418",0.22110739715692135,2.9232410089125564
-53.066506146618785,0.015078708243615195,-2.636329751479404,"x66_148","dorsal_ACC_L -- PTR_L",-0.4197236918289136,"0.8135271851118574",0.03136719236224199,"0.14212893732200418",0.16063063213421264,2.299116895973432
