"coef","pvalue","tscore","edge","edge_name","cor_coef","pvalue_adj"
-1329.314326664827,0.08397015124470239,-1.806332018994586,"x92_129","Snigra_L -- TAP_R",-0.35247374647782526,"0.9400212394539273"
119.34195926244007,0.08413483255903179,1.8053077323174596,"x98_163","Midbrain_L -- LenticularFasc_R",0.3522986881276591,"0.9406420060226536"
138.67636545333562,0.08418318973449371,1.8050072883521322,"x1_32","SFG_R -- PrCu_L",0.35224733296280364,"0.9406420060226536"
56.77052319269249,0.08426161494256988,1.804520347556233,"x86_124","Mynert_L -- BCC_L",0.3521640929645133,"0.9406420060226536"
-2531.934963892168,0.08436918982762714,-1.8038530524262846,"x137_145","EC_R -- Fx_R",-0.35205000875627773,"0.9406420060226536"
104.62088798314801,0.08442710711004321,1.8034940910148873,"x17_69","LFOG_R -- PCC_R",0.3519886323751871,"0.9406420060226536"
-3767.57047163505,0.08443235368850997,-1.8034615841110149,"x16_106","LFOG_L -- PCT_L",-0.35198307401558276,"0.9406420060226536"
42.046701467346125,0.08443404877161487,1.8034510820380363,"x79_82","Put_R -- Thal_L",0.3519812782568375,"0.9406420060226536"
625.3131835872808,0.08444917255466242,1.8033573890322139,"x43_95","ITG_R -- cerebellum_L",0.35196525743491247,"0.9406420060226536"
-64.31217515049867,0.08451046793323858,-1.8029778075365672,"x11_76","IFG_opercularis_R -- Caud_L",-0.3519003485972577,"0.9407349456778926"
-7.468116195283756,0.0846092709940445,-1.8023664531949306,"x33_56","PrCu_R -- Cu_L",-0.3517957956845146,"0.9412450272261706"
654.412333242432,0.08488363302268116,1.8006720315832077,"x50_87","SOG_L -- Mynert_R",0.35150594939513113,"0.943706273016867"
7.04676109586968,0.08499772735242711,1.7999687906611486,"x21_39","RG_R -- MTG_R",0.3513856239198736,"0.9443837549363477"
917.2900532919617,0.08515829021563281,1.7989805096087312,"x23_87","PoCG_R -- Mynert_R",0.35121649825924944,"0.9448892074809601"
11.563640616860019,0.08519055975487469,1.798782081102637,"x33_133","PrCu_R -- PLIC_R",0.35118253681795325,"0.9448892074809601"
454.06867078944924,0.08520277554792852,1.7987069819167303,"x87_126","Mynert_R -- SCC_L",0.351169683078375,"0.9448892074809601"
-162.87398967023998,0.08544869910283774,-1.7971970847667362,"x14_128","IFG_triangularis_L -- TAP_L",-0.3509112117282691,"0.9470253201877825"
-251.13547667033762,0.08551184686630792,-1.796809980614747,"x145_179","Fx_R -- LV_temporal_R",-0.3508449324822167,"0.9471026283401774"
-37093.07690893376,0.08556322800945873,-1.796495189093207,"x30_157","AG_L -- UNC_R",-0.3507910305813463,"0.9471026283401774"
-1001.5369769510603,0.08565079237972124,-1.795959092622146,"x12_103","IFG_orbitalis_L -- SCP_R",-0.35069922650409163,"0.9471026283401774"
-882.0760348224135,0.08566891386596111,-1.7958482061851355,"x10_129","IFG_opercularis_L -- TAP_R",-0.35068023644505625,"0.9471026283401774"
-1061.108496802236,0.08580793380719151,-1.7949982064339212,"x36_178","STG_L_pole -- LV_occipital_R",-0.3505346538202403,"0.9480495970264704"
188.22767998656988,0.08591995617354671,1.7943141386115753,"x99_147","Midbrain_R -- IFO_R",0.3504174725179741,"0.9481896055030419"
863.1526689179575,0.08597880907975161,1.7939550593712763,"x7_19","MFG_R -- MFOG_R",0.3503559554027087,"0.9481896055030419"
2.9601344907809097,0.08599105205902383,1.7938803878798453,"x123_138","GCC_R -- CGC_L",0.3503431621839985,"0.9481896055030419"
-14.108729221848234,0.0860827004861957,-1.7933217030427762,"x144_145","Fx_L -- Fx_R",-0.3502474383439913,"0.9481896055030419"
1440.0911032700965,0.08608746108726818,1.793292696621694,"x5_23","SFG_pole_R -- PoCG_R",0.3502424681474196,"0.9481896055030419"
-12.344295300452515,0.08623751473497177,-1.7923791243869078,"x136_142","EC_L -- Fx/ST_L",-0.3500859140968949,"0.9489145438465338"
25.233556835551838,0.08626010291073692,1.7922417192499531,"x111_143","ML_R -- Fx/ST_R",0.3500623651654325,"0.9489145438465338"
20.67231326720916,0.08637616863131432,1.7915361731272663,"x11_27","IFG_opercularis_R -- SPG_R",0.3499414359625895,"0.949603348950452"
-9.149138555975721,0.08659116247375237,-1.7902314110413171,"x50_138","SOG_L -- CGC_L",-0.34971775623826007,"0.9513782266596689"
-1735.0550033522268,0.08674034946659598,-1.7893276576115735,"x11_172","IFG_opercularis_R -- LV_atrium_L",-0.34956278769801474,"0.952428336602932"
191.0512303052347,0.08695870322210539,1.7880073105237795,"x104_184","MCP_L -- PSTG_R",0.34933633336513203,"0.9539329112520593"
9.380016134694593,0.08700094798533056,1.7877521932113052,"x19_21","MFOG_R -- RG_R",0.34929257082597825,"0.9539329112520593"
29.805825834779913,0.0870384582426876,1.7875257570287189,"x31_111","AG_R -- ML_R",0.3492537263010272,"0.9539329112520593"
20.653097352080135,0.08719149517506153,1.7866027961851152,"x105_134","MCP_R -- RLIC_L",0.3490953761956263,"0.9550210254501499"
-184.65158979360965,0.08733512116515432,-1.7857378591705941,"x59_176","LG_R -- LV_body_R",-0.34894695394566355,"0.9553527180336107"
-23.984902033848353,0.08740009186152381,-1.7853469978370395,"x20_42","RG_L -- ITG_L",-0.34887987395044295,"0.9553527180336107"
4.703299349157998,0.08741141771368093,1.7852788875040888,"x81_111","GP_R -- ML_R",0.34886818424139937,"0.9553527180336107"
-44.07045367342093,0.0874893801518665,-1.7848102502308132,"x85_171","Hypothalamus_R -- LV_body_L",-0.3487877480752952,"0.9553527180336107"
-1.7796466657686598,0.08749064911857957,-1.7848026253604004,"x83_149","Thal_R -- PTR_R",-0.34878643929077335,"0.9553527180336107"
-2.3755146249866455,0.08755803426402674,-1.7843978631859874,"x68_121","PCC_L -- PCR_R",-0.34871696023407356,"0.95550125106554"
115.7357044104575,0.08777360440700127,1.7831047951777035,"x43_105","ITG_R -- MCP_R",0.34849496138325203,"0.9564513358655486"
-3216.6188863006914,0.08782344763151964,-1.7828062061069585,"x134_171","RLIC_L -- LV_body_L",-0.3484436901342261,"0.9564513358655486"
-6.176208002998812,0.08793968233852406,-1.7821104601417468,"x99_101","Midbrain_R -- CST_R",-0.3483242102487035,"0.9564513358655486"
13.452995972107344,0.08794173863244958,1.7820981589032345,"x67_99","dorsal_ACC_R -- Midbrain_R",0.34832209761430805,"0.9564513358655486"
