"coef","pvalue","tscore","edge","edge_name","cor_coef","pvalue_adj","pd_atw_pvalue","pd_atw_pvalue_adj","pd_atw_coef","pd_atw_tscore"
-26.944358157943636,0.003267616981793417,-3.29928425116764,"x8_20","MFG_DPFC_L -- RG_L",-0.22485173605193703,"0.5592699486218643",0.0012376665542890508,"0.13659038321095252",0.2992155362072945,3.7041238834339163
-406.73961058667044,0.003408102315472083,-3.2815277014915547,"x56_76","Cu_L -- Caud_L",-0.532893389683102,"0.5592699486218643",0.03855136135055183,"0.13659038321095252",0.14377841711038164,2.2006902594975606
-3.903000774488027,0.00786699642493511,-2.92359930017333,"x10_24","IFG_opercularis_L -- PrCG_L",-0.38820749624122425,"0.5592699486218643",0.011132151551450831,"0.13659038321095252",0.19388866681131117,2.771497054972197
-3.016465535011141,0.009552306968170754,-2.8388625138980514,"x2_8","SFG_PFC_L -- MFG_DPFC_L",-0.39666968499194083,"0.5592699486218643",0.014900954538993866,"0.13659038321095252",0.18448961778451464,2.6416553813395125
-41.883033805832795,0.01165395014274974,-2.7512342799268805,"x36_76","STG_L_pole -- Caud_L",-0.3704965240902736,"0.5592699486218643",0.01366127330311391,"0.13659038321095252",0.19027138272475774,2.6805528571728723
-12.899017805968768,0.012195435599251268,-2.731096597011717,"x10_28","IFG_opercularis_L -- SMG_L",-0.24720397663480384,"0.5592699486218643",0.005160312702831361,"0.13659038321095252",0.24271499932905108,3.105337382055501
-320.6247884399595,0.012749356701124108,-2.711353910653542,"x54_66","IOG_L -- dorsal_ACC_L",-0.43903776137087297,"0.5592699486218643",0.03406906492087882,"0.13659038321095252",0.1564673165505266,2.259893704559936
-15.60699267279549,0.012832407385140866,-2.708464027215485,"x22_185","PoCG_L -- PSMG_L",-0.29602537009933794,"0.5592699486218643",0.007643539929371633,"0.13659038321095252",0.2194549527768232,2.93611652390372
-4.717608808970052,0.014829978625000195,-2.6437985924600214,"x12_185","IFG_orbitalis_L -- PSMG_L",-0.2810924798316949,"0.5592699486218643",0.0078734837496726,"0.13659038321095252",0.22110739715692135,2.9232410089125564
-100.25390739453402,0.015163668134022796,-2.6338051258865773,"x6_185","MFG_L -- PSMG_L",-0.22074805355318491,"0.5592699486218643",0.005462757112864863,"0.13659038321095252",0.2468664359390668,3.0809593111608597
-113.4230146187424,0.015273954745895888,-2.6305476801374588,"x8_185","MFG_DPFC_L -- PSMG_L",-0.22685345954319508,"0.5592699486218643",0.005693693504227681,"0.13659038321095252",0.24383911194510208,3.063205961893338
-9.822407718256288,0.016090627428179502,-2.607092388901483,"x24_185","PrCG_L -- PSMG_L",-0.25913939956109067,"0.5592699486218643",0.007315171971630768,"0.13659038321095252",0.2277666864170512,2.955161361809168
-11.209415677357502,0.017549156126112686,-2.5678537257555822,"x22_183","PoCG_L -- PSTG_L",-0.5041660690680098,"0.5592699486218643",0.13576143944106317,"0.15190604305027067",0.11000004805663949,1.5485281912507465
-203.5355505276906,0.018046512894311518,-2.555170091166644,"x72_76","Amyg_L -- Caud_L",-0.3150616145394452,"0.5592699486218643",0.012501459572352876,"0.13659038321095252",0.20034236606001724,2.720086988410948
-27.963976024380113,0.01867800506307222,-2.5395289015231763,"x12_56","IFG_orbitalis_L -- Cu_L",-0.26182769538644035,"0.5592699486218643",0.008619787002532586,"0.13659038321095252",0.221429731789544,2.883798514770173
-11.849044391090445,0.01895318516856695,-2.5328672086570534,"x10_185","IFG_opercularis_L -- PSMG_L",-0.25696715774309675,"0.5592699486218643",0.008463952032230253,"0.13659038321095252",0.2229734506320159,2.891757357889313
-146.81748949996873,0.019783465561397266,-2.513301233605336,"x8_74","MFG_DPFC_L -- Hippo_L",-0.2996546096418421,"0.5592699486218643",0.012054905374707684,"0.13659038321095252",0.20372352222180504,2.7362402377199917
-695.7277158102806,0.01989809897426827,-2.5106602836002225,"x8_30","MFG_DPFC_L -- AG_L",-0.2803928926338969,"0.5592699486218643",0.010456852222082938,"0.13659038321095252",0.21149006794367028,2.7991025455406167
-21.766860634980805,0.02040064528504103,-2.499247447156376,"x12_187","IFG_orbitalis_L -- PSIG_L",-0.27018989525969594,"0.5592699486218643",0.009956301531223443,"0.13659038321095252",0.2148701777684821,2.820680469111007
-2.4705689843018104,0.020667477548946676,-2.493293767164555,"x58_78","LG_L -- Put_L",-0.21901775271375126,"0.5592699486218643",0.0073155696023932916,"0.13659038321095252",0.23608351988100068,2.955137808346078
-11.360808290625469,0.0206863748842779,-2.4928748416190123,"x12_54","IFG_orbitalis_L -- IOG_L",-0.26887267453890257,"0.5592699486218643",0.009999862907186222,"0.13659038321095252",0.21493682397451416,2.8187620854202637
-2.6357274134924316,0.0212230632404786,-2.4811236385597932,"x12_58","IFG_orbitalis_L -- LG_L",-0.2806697178071644,"0.5592699486218643",0.011162392231139021,"0.13659038321095252",0.20918666380852713,2.7702983809579935
-51.78638943613498,0.02163544500614307,-2.4722806625999967,"x14_28","IFG_triangularis_L -- SMG_L",-0.193088052152049,"0.5592699486218643",0.006689954711141913,"0.13659038321095252",0.2457465874550149,2.993804910298918
8.050983206306986,0.021999843902959622,2.464596127898477,"x64_76","subgenual_ACC_L -- Caud_L",0.38696100661569455,"0.5592699486218643",0.031034266380560033,"0.13659038321095252",0.16392519918702259,2.304162347695504
-1.8752527035903626,0.022329170841498117,-2.457752311770489,"x34_183","STG_L -- PSTG_L",-0.4031180489904848,"0.5592699486218643",0.038120482811525455,"0.13659038321095252",0.15633897570612684,2.2061011198484266
