"predictor","neg_ratio","pos_ratio","standard_dev","mean","pos_ratio_adj","neg_ratio_adj"
"AG_L",0.5064935064935064,0.4945054945054945,0.27393872801859176,0.03450224126590151,"0.711482066320776","0.6874206874206874"
"Amyg_L",0.42357642357642356,0.5774225774225774,0.3270332250546825,0.04363840236520324,"0.711482066320776","0.6874206874206874"
"Cu_L",0.5494505494505495,0.4515484515484515,0.5086289152673186,0.05492083120728653,"0.711482066320776","0.6874206874206874"
"ENT_L",0.5744255744255744,0.41858141858141856,0.4536016615669709,-0.017897366898985665,"0.711482066320776","0.6874206874206874"
"FuG_L",0.5334665334665335,0.4675324675324675,0.46532643936347645,0.038081682708202474,"0.711482066320776","0.6874206874206874"
"Hippo_L",0.6153846153846154,0.3856143856143856,0.5497905024945029,-0.04725393821476893,"0.711482066320776","0.6874206874206874"
"IFG_opercularis_L",0.5354645354645354,0.46553446553446554,0.3546033244356387,-0.07483192472773506,"0.711482066320776","0.6874206874206874"
"IFG_orbitalis_L",0.5744255744255744,0.42657342657342656,0.35220949407366514,-0.06684129924565015,"0.711482066320776","0.6874206874206874"
"IFG_triangularis_L",0.25774225774225773,0.7432567432567433,0.33347750370314033,0.09001758813856815,"0.7845487845487846","0.6874206874206874"
"ITG_L",0.6133866133866134,0.3876123876123876,0.43072167235423636,-0.02525719564933747,"0.711482066320776","0.6874206874206874"
"Ins_L",0.4205794205794206,0.5804195804195804,0.33846323831760905,0.020437479716605256,"0.711482066320776","0.6874206874206874"
"LFOG_L",0.4405594405594406,0.5604395604395604,0.425502522492685,0.03196951732810433,"0.711482066320776","0.6874206874206874"
"LG_L",0.6693306693306693,0.33166833166833165,0.8318079613606122,-0.13182029808953444,"0.711482066320776","0.6874206874206874"
"MFG_DPFC_L",0.3356643356643357,0.6653346653346653,0.5501642778529905,-0.01550650887171794,"0.7447258623729212","0.6874206874206874"
"MFG_L",0.33466533466533466,0.6663336663336663,0.5119448014221085,0.05409161946843408,"0.7447258623729212","0.6874206874206874"
"MFOG_L",0.1888111888111888,0.8121878121878122,0.5346045915007809,0.09668169261834281,"0.8121878121878122","0.6874206874206874"
"MTG_L",0.5614385614385614,0.43956043956043955,0.29511693639451936,0.025358708703380754,"0.711482066320776","0.6874206874206874"
"MTG_L_pole",0.6693306693306693,0.33166833166833165,0.4790158635149248,-0.1261367581860729,"0.711482066320776","0.6874206874206874"
"PCC_L",0.6533466533466533,0.34765234765234765,0.5430286042674805,-0.016267727422147753,"0.711482066320776","0.6874206874206874"
"PHG_L",0.5964035964035964,0.4045954045954046,0.538666006923492,-0.030553390390215925,"0.711482066320776","0.6874206874206874"
"PIns_L",0.38461538461538464,0.6163836163836164,0.31090117526537675,0.07888406450895201,"0.7319555444555444","0.6874206874206874"
"PSIG_L",0.5014985014985015,0.4995004995004995,0.3871099219757899,0.048096901617458866,"0.711482066320776","0.6874206874206874"
"PSMG_L",0.5684315684315684,0.4325674325674326,0.32279826046793425,-0.005132567215748226,"0.711482066320776","0.6874206874206874"
"PSTG_L",0.5024975024975025,0.4985014985014985,0.35978090123688455,0.012155081539956602,"0.711482066320776","0.6874206874206874"
"PoCG_L",0.6313686313686314,0.3696303696303696,0.504759665205413,-0.013381674523054783,"0.711482066320776","0.6874206874206874"
"PrCG_L",0.6163836163836164,0.38461538461538464,0.49142687867442175,-0.04974702076085927,"0.711482066320776","0.6874206874206874"
"PrCu_L",0.7792207792207793,0.2217782217782218,0.5476502160215974,-0.1470700967864147,"0.711482066320776","0.7792207792207793"
"SFG_L",0.48151848151848153,0.5194805194805194,0.5584307517173042,0.10383366978789552,"0.711482066320776","0.6874206874206874"
"SFG_PFC_L",0.2837162837162837,0.7172827172827173,0.5687420205609185,0.10593235396933631,"0.7787640930498073","0.6874206874206874"
"SFG_pole_L",0.15384615384615385,0.8051948051948052,0.03686360030611972,0.006253597269078543,"0.8121878121878122","0.6874206874206874"
"SMG_L",0.6183816183816184,0.3826173826173826,0.42248374750199696,-0.07971188265870108,"0.711482066320776","0.6874206874206874"
"SPG_L",0.6493506493506493,0.3516483516483517,0.3697385112205675,0.022467693478810932,"0.711482066320776","0.6874206874206874"
"STG_L",0.5354645354645354,0.46553446553446554,0.4167084864903645,-0.02471322675625299,"0.711482066320776","0.6874206874206874"
"STG_L_pole",0.46153846153846156,0.5394605394605395,0.42858458556739265,0.07620961380837186,"0.711482066320776","0.6874206874206874"
"dorsal_ACC_L",0.6503496503496503,0.35064935064935066,0.4959379301310931,-0.030303443159548273,"0.711482066320776","0.6874206874206874"
"rostral_ACC_L",0.5644355644355644,0.4355644355644356,0.4912865130555338,-0.03533046193868725,"0.711482066320776","0.6874206874206874"
"subcallosal_ACC_L",0.21978021978021978,0.5654345654345654,0.06297810062384067,0.007979198601942222,"0.711482066320776","0.6874206874206874"
"subgenual_ACC_L",0.000999000999000999,0.000999000999000999,0.0,0.0,"0.03796203796203796","0.03796203796203796"
