"edge","edge_name","coef","pos_rank","neg_rank"
"x38_185","MTG_L -- PSMG_L",-0.04793141424170307,"101","101"
"x40_183","MTG_L_pole -- PSTG_L",-0.0476783598844137,"101","101"
"x12_70","IFG_orbitalis_L -- Ins_L",-0.047652458921922033,"101","101"
"x14_30","IFG_triangularis_L -- AG_L",-0.04757098155682394,"101","101"
"x74_78","Hippo_L -- Put_L",-0.047412392944285495,"101","101"
"x74_82","Hippo_L -- Thal_L",-0.04688203507403944,"101","101"
"x50_54","SOG_L -- IOG_L",-0.046547153847604904,"101","101"
"x10_78","IFG_opercularis_L -- Put_L",-0.045976479389899516,"101","101"
"x22_187","PoCG_L -- PSIG_L",-0.04517157110328622,"101","101"
"x30_34","AG_L -- STG_L",-0.044844421749870154,"101","101"
"x70_78","Ins_L -- Put_L",-0.043908605094921074,"101","101"
"x22_34","PoCG_L -- STG_L",-0.04330445365822242,"101","101"
"x36_78","STG_L_pole -- Put_L",-0.04268741725836606,"101","101"
"x56_78","Cu_L -- Put_L",-0.04214328918814879,"101","101"
"x2_76","SFG_PFC_L -- Caud_L",-0.04206038239645985,"101","101"
"x18_34","MFOG_L -- STG_L",-0.041420223586891715,"101","101"
"x8_82","MFG_DPFC_L -- Thal_L",-0.041161369020176856,"101","101"
"x6_22","MFG_L -- PoCG_L",-0.0405433202104303,"101","101"
"x20_181","RG_L -- PIns_L",-0.039722799466908584,"101","101"
"x42_187","ITG_L -- PSIG_L",-0.03957190119755291,"101","101"
"x50_80","SOG_L -- GP_L",-0.039170816444804926,"101","101"
"x6_12","MFG_L -- IFG_orbitalis_L",-0.03861714242962754,"101","101"
"x22_24","PoCG_L -- PrCG_L",-0.03850260571322939,"101","101"
"x26_185","SPG_L -- PSMG_L",-0.03842854419816363,"101","101"
"x62_76","subcallosal_ACC_L -- Caud_L",-0.03814515915291323,"101","101"
"x56_185","Cu_L -- PSMG_L",-0.03808437905745215,"101","101"
"x54_78","IOG_L -- Put_L",-0.03714002321345101,"101","101"
"x30_42","AG_L -- ITG_L",-0.036801282886918696,"101","101"
"x2_80","SFG_PFC_L -- GP_L",-0.03589319048772092,"101","101"
"x48_78","FuG_L -- Put_L",-0.035673709398168156,"101","101"
"x28_181","SMG_L -- PIns_L",-0.03558562877728654,"101","101"
"x14_183","IFG_triangularis_L -- PSTG_L",-0.034880848506505725,"101","101"
"x181_183","PIns_L -- PSTG_L",-0.03441046245054492,"101","101"
"x78_187","Put_L -- PSIG_L",-0.03430888977728057,"101","101"
"x28_42","SMG_L -- ITG_L",-0.03188659727518116,"101","101"
"x6_28","MFG_L -- SMG_L",-0.03184731758044545,"101","101"
"x24_66","PrCG_L -- dorsal_ACC_L",-0.03152915489095177,"101","101"
"x18_78","MFOG_L -- Put_L",-0.03143627502377483,"101","101"
"x8_76","MFG_DPFC_L -- Caud_L",-0.030028042316450385,"101","101"
"x6_52","MFG_L -- MOG_L",-0.029742979906690628,"101","101"
"x28_52","SMG_L -- MOG_L",-0.029735473833057142,"101","101"
"x12_80","IFG_orbitalis_L -- GP_L",-0.029101986203830168,"101","101"
"x24_187","PrCG_L -- PSIG_L",-0.028520529042198768,"101","101"
"x22_54","PoCG_L -- IOG_L",-0.028183213429518014,"101","101"
"x18_181","MFOG_L -- PIns_L",-0.027889721777451918,"101","101"
"x28_32","SMG_L -- PrCu_L",-0.027796758257889766,"101","101"
"x58_70","LG_L -- Ins_L",-0.02755530879952488,"101","101"
"x30_187","AG_L -- PSIG_L",-0.027505675181282548,"101","101"
"x0_14","SFG_L -- IFG_triangularis_L",-0.027205044238260544,"101","101"
"x12_48","IFG_orbitalis_L -- FuG_L",-0.02705544167883725,"101","101"
"x28_54","SMG_L -- IOG_L",-0.027052375806156465,"101","101"
"x20_185","RG_L -- PSMG_L",-0.026975409059068783,"101","101"
"x56_82","Cu_L -- Thal_L",-0.026860610345965978,"101","101"
"x12_185","IFG_orbitalis_L -- PSMG_L",-0.025863975840568747,"101","101"
"x6_185","MFG_L -- PSMG_L",-0.025535671050878887,"101","101"
"x30_38","AG_L -- MTG_L",-0.025172792551982875,"101","101"
"x14_70","IFG_triangularis_L -- Ins_L",-0.024954627427378855,"101","101"
"x30_181","AG_L -- PIns_L",-0.02482905934578407,"101","101"
"x10_54","IFG_opercularis_L -- IOG_L",-0.0243463059053198,"101","101"
"x8_80","MFG_DPFC_L -- GP_L",-0.02385185269240843,"101","101"
"x26_54","SPG_L -- IOG_L",-0.02340668945892004,"101","101"
"x38_52","MTG_L -- MOG_L",-0.023271170439206824,"101","101"
"x22_76","PoCG_L -- Caud_L",-0.023196211228220517,"101","101"
"x50_183","SOG_L -- PSTG_L",-0.02315090528684273,"101","101"
"x50_78","SOG_L -- Put_L",-0.022581666969864706,"101","101"
"x18_58","MFOG_L -- LG_L",-0.02192359063874933,"101","101"
"x36_76","STG_L_pole -- Caud_L",-0.021657949881252827,"101","101"
"x34_76","STG_L -- Caud_L",-0.021316001613125694,"101","101"
"x34_50","STG_L -- SOG_L",-0.02107716864495346,"101","101"
"x24_36","PrCG_L -- STG_L_pole",-0.020393779383146304,"101","101"
"x28_78","SMG_L -- Put_L",-0.020334725157860733,"101","101"
