"edge","edge_name","coef","pos_rank","neg_rank"
"x32_185","PrCu_L -- PSMG_L",-0.010400572042925228,"101","101"
"x24_66","PrCG_L -- dorsal_ACC_L",-0.009943487565507487,"101","101"
"x78_181","Put_L -- PIns_L",-0.00952128062444285,"101","101"
"x68_183","PCC_L -- PSTG_L",-0.009435682233584547,"101","101"
"x34_40","STG_L -- MTG_L_pole",-0.009180210494904625,"101","101"
"x42_82","ITG_L -- Thal_L",-0.00906606025474786,"101","101"
"x40_54","MTG_L_pole -- IOG_L",-0.009048502392466852,"101","101"
"x38_68","MTG_L -- PCC_L",-0.008720852575714795,"101","101"
"x28_32","SMG_L -- PrCu_L",-0.008646432368809473,"101","101"
"x34_82","STG_L -- Thal_L",-0.008459125504719623,"101","101"
"x28_181","SMG_L -- PIns_L",-0.008392411951965661,"101","101"
"x32_42","PrCu_L -- ITG_L",-0.00807709410673117,"101","101"
"x26_38","SPG_L -- MTG_L",-0.008064308365897421,"101","101"
"x34_74","STG_L -- Hippo_L",-0.007997204639656377,"101","101"
"x38_82","MTG_L -- Thal_L",-0.007949918161823633,"101","101"
"x0_78","SFG_L -- Put_L",-0.00791204087304154,"101","101"
"x32_34","PrCu_L -- STG_L",-0.007814246124293694,"101","101"
"x56_187","Cu_L -- PSIG_L",-0.007732824617779409,"101","101"
"x32_54","PrCu_L -- IOG_L",-0.007514079891186924,"101","101"
"x14_24","IFG_triangularis_L -- PrCG_L",-0.007362596390483402,"101","101"
"x14_181","IFG_triangularis_L -- PIns_L",-0.007180942304036557,"101","101"
"x54_183","IOG_L -- PSTG_L",-0.007032554662749059,"101","101"
"x40_58","MTG_L_pole -- LG_L",-0.007008975118897829,"101","101"
"x46_72","ENT_L -- Amyg_L",-0.006837239485611991,"101","101"
"x32_183","PrCu_L -- PSTG_L",-0.006685753709150215,"101","101"
"x48_185","FuG_L -- PSMG_L",-0.006642929004797916,"101","101"
"x40_50","MTG_L_pole -- SOG_L",-0.00659382493575299,"101","101"
"x32_48","PrCu_L -- FuG_L",-0.006468436001016249,"101","101"
"x54_68","IOG_L -- PCC_L",-0.006345518176931543,"101","101"
"x6_32","MFG_L -- PrCu_L",-0.006323238404987406,"101","101"
"x40_82","MTG_L_pole -- Thal_L",-0.006290687785826068,"101","101"
"x0_68","SFG_L -- PCC_L",-0.00627093497631955,"101","101"
"x12_38","IFG_orbitalis_L -- MTG_L",-0.006242868791682941,"101","101"
"x48_50","FuG_L -- SOG_L",-0.006051884646743011,"101","101"
"x14_34","IFG_triangularis_L -- STG_L",-0.0056121106867151604,"101","101"
"x72_82","Amyg_L -- Thal_L",-0.005583800205913583,"101","101"
"x36_187","STG_L_pole -- PSIG_L",-0.0053947240185744615,"101","101"
"x26_56","SPG_L -- Cu_L",-0.00537636582590947,"101","101"
"x183_187","PSTG_L -- PSIG_L",-0.005361812476399626,"101","101"
"x36_54","STG_L_pole -- IOG_L",-0.005193104672522625,"101","101"
"x36_40","STG_L_pole -- MTG_L_pole",-0.0051616243638334626,"101","101"
"x12_74","IFG_orbitalis_L -- Hippo_L",-0.005132937309074162,"101","101"
"x40_74","MTG_L_pole -- Hippo_L",-0.005057836476735185,"101","101"
"x74_181","Hippo_L -- PIns_L",-0.00494144031428961,"101","101"
"x40_80","MTG_L_pole -- GP_L",-0.004896627399861414,"101","101"
"x42_183","ITG_L -- PSTG_L",-0.004875786448920301,"101","101"
"x36_74","STG_L_pole -- Hippo_L",-0.004866119249309607,"101","101"
"x28_80","SMG_L -- GP_L",-0.004851607978688979,"101","101"
"x72_80","Amyg_L -- GP_L",-0.004690174183664277,"101","101"
"x26_72","SPG_L -- Amyg_L",-0.004649030226456121,"101","101"
"x30_183","AG_L -- PSTG_L",-0.004616004685801938,"101","101"
"x10_24","IFG_opercularis_L -- PrCG_L",-0.004562735872136653,"101","101"
"x6_78","MFG_L -- Put_L",-0.004544075917799093,"101","101"
"x42_72","ITG_L -- Amyg_L",-0.004493968899493722,"101","101"
"x76_80","Caud_L -- GP_L",-0.004491690233112944,"101","101"
"x36_185","STG_L_pole -- PSMG_L",-0.004475234172235136,"101","101"
"x34_58","STG_L -- LG_L",-0.004466847654604074,"101","101"
"x24_80","PrCG_L -- GP_L",-0.004416891134039091,"101","101"
"x38_74","MTG_L -- Hippo_L",-0.004287129803138827,"101","101"
"x22_80","PoCG_L -- GP_L",-0.004228417239007362,"101","101"
"x68_82","PCC_L -- Thal_L",-0.004126017474704788,"101","101"
"x12_58","IFG_orbitalis_L -- LG_L",-0.004050957031808757,"101","101"
"x24_56","PrCG_L -- Cu_L",-0.0040314892815412956,"101","101"
"x40_181","MTG_L_pole -- PIns_L",-0.003911791259372485,"101","101"
"x2_70","SFG_PFC_L -- Ins_L",-0.003903552071222682,"101","101"
"x40_68","MTG_L_pole -- PCC_L",-0.0037465289052311347,"101","101"
"x72_74","Amyg_L -- Hippo_L",-0.0036112596860992585,"101","101"
"x36_50","STG_L_pole -- SOG_L",-0.0034432298605361904,"101","101"
"x34_42","STG_L -- ITG_L",-0.003383078421414586,"101","101"
"x66_183","dorsal_ACC_L -- PSTG_L",-0.00336601184535822,"101","101"
"x34_44","STG_L -- PHG_L",-0.0032657195257039346,"101","101"
"x26_80","SPG_L -- GP_L",-0.00326094633460714,"101","101"
"x34_70","STG_L -- Ins_L",-0.0032601302065225525,"101","101"
"x6_50","MFG_L -- SOG_L",-0.0032249577640779616,"101","101"
"x12_185","IFG_orbitalis_L -- PSMG_L",-0.0031716035141930218,"101","101"
"x185_187","PSMG_L -- PSIG_L",-0.003130744547614445,"101","101"
"x14_42","IFG_triangularis_L -- ITG_L",-0.003074136051637156,"101","101"
"x20_40","RG_L -- MTG_L_pole",-0.0030313828121193683,"101","101"
"x54_74","IOG_L -- Hippo_L",-0.0030094523667630693,"101","101"
"x42_70","ITG_L -- Ins_L",-0.0029851450182582224,"101","101"
"x80_181","GP_L -- PIns_L",-0.0029338191920872604,"101","101"
"x20_181","RG_L -- PIns_L",-0.0028981187955315108,"101","101"
"x22_68","PoCG_L -- PCC_L",-0.0028921457361728025,"101","101"
"x6_28","MFG_L -- SMG_L",-0.002876368162403691,"101","101"
"x26_40","SPG_L -- MTG_L_pole",-0.002823368302066664,"101","101"
"x78_183","Put_L -- PSTG_L",-0.0028032291085100863,"101","101"
"x20_80","RG_L -- GP_L",-0.0027657472803267165,"101","101"
"x30_52","AG_L -- MOG_L",-0.00268888320799247,"101","101"
"x50_72","SOG_L -- Amyg_L",-0.0026736498019671925,"101","101"
"x28_50","SMG_L -- SOG_L",-0.002666903584567565,"101","101"
"x0_50","SFG_L -- SOG_L",-0.002646932881305477,"101","101"
"x18_34","MFOG_L -- STG_L",-0.0026320684638951497,"101","101"
"x52_183","MOG_L -- PSTG_L",-0.002623372109408635,"101","101"
"x24_181","PrCG_L -- PIns_L",-0.002602896196322252,"101","101"
"x18_40","MFOG_L -- MTG_L_pole",-0.00257977259595736,"101","101"
"x12_40","IFG_orbitalis_L -- MTG_L_pole",-0.0025018934387503887,"101","101"
"x24_36","PrCG_L -- STG_L_pole",-0.0024432554979813242,"101","101"
"x18_36","MFOG_L -- STG_L_pole",-0.0024056741514508284,"101","101"
"x26_36","SPG_L -- STG_L_pole",-0.002380484529708421,"101","101"
"x14_38","IFG_triangularis_L -- MTG_L",-0.002347362063566343,"101","101"
"x28_187","SMG_L -- PSIG_L",-0.0023250488343771747,"101","101"
"x20_36","RG_L -- STG_L_pole",-0.002273805264781059,"101","101"
"x60_70","rostral_ACC_L -- Ins_L",-0.0022314984878021586,"101","101"
"x70_74","Ins_L -- Hippo_L",-0.002162962654093693,"101","101"
"x14_74","IFG_triangularis_L -- Hippo_L",-0.0021082698904257543,"101","101"
"x22_56","PoCG_L -- Cu_L",-0.002063424342144179,"101","101"
"x22_183","PoCG_L -- PSTG_L",-0.0019765497294721417,"101","101"
"x28_38","SMG_L -- MTG_L",-0.00196872029759002,"101","101"
"x12_26","IFG_orbitalis_L -- SPG_L",-0.001958449066346263,"101","101"
"x24_183","PrCG_L -- PSTG_L",-0.001848171672022585,"101","101"
"x18_38","MFOG_L -- MTG_L",-0.0018269157942536406,"101","101"
"x6_80","MFG_L -- GP_L",-0.0018059918223237894,"101","101"
"x72_78","Amyg_L -- Put_L",-0.0017327915787915585,"101","101"
"x36_68","STG_L_pole -- PCC_L",-0.0017315505424627072,"101","101"
"x6_52","MFG_L -- MOG_L",-0.0016758665330234973,"101","101"
"x20_38","RG_L -- MTG_L",-0.0016270613507783714,"101","101"
"x0_80","SFG_L -- GP_L",-0.0016190637355310929,"101","101"
"x40_76","MTG_L_pole -- Caud_L",-0.0016172997248848839,"101","101"
"x16_181","LFOG_L -- PIns_L",-0.0014989769690366675,"101","101"
"x0_52","SFG_L -- MOG_L",-0.0014663032754190608,"101","101"
"x72_185","Amyg_L -- PSMG_L",-0.001415046715025887,"101","101"
"x26_44","SPG_L -- PHG_L",-0.001340614181997094,"101","101"
"x42_181","ITG_L -- PIns_L",-0.0013342258477035485,"101","101"
"x12_50","IFG_orbitalis_L -- SOG_L",-0.0013190836988610291,"101","101"
"x18_72","MFOG_L -- Amyg_L",-0.001298645540356829,"101","101"
"x2_14","SFG_PFC_L -- IFG_triangularis_L",-0.0012903266434377875,"101","101"
"x30_54","AG_L -- IOG_L",-0.0012839923712661514,"101","101"
"x58_74","LG_L -- Hippo_L",-0.0012832487242245556,"101","101"
"x74_78","Hippo_L -- Put_L",-0.001264329855020399,"101","101"
"x74_185","Hippo_L -- PSMG_L",-0.001243861778285742,"101","101"
"x2_10","SFG_PFC_L -- IFG_opercularis_L",-0.0012240485643603503,"101","101"
"x18_181","MFOG_L -- PIns_L",-0.0012031075428196054,"101","101"
"x44_78","PHG_L -- Put_L",-0.001183396807717666,"101","101"
"x44_80","PHG_L -- GP_L",-0.0011732390220889235,"101","101"
"x2_76","SFG_PFC_L -- Caud_L",-0.001137623709866734,"101","101"
"x28_42","SMG_L -- ITG_L",-0.0011246990810434034,"101","101"
"x50_181","SOG_L -- PIns_L",-0.0011022494075593491,"101","101"
"x16_36","LFOG_L -- STG_L_pole",-0.0010813478637379127,"101","101"
"x14_26","IFG_triangularis_L -- SPG_L",-0.001078062760422231,"101","101"
"x8_16","MFG_DPFC_L -- LFOG_L",-0.0010670951485352307,"101","101"
"x50_78","SOG_L -- Put_L",-0.0010604997517554887,"101","101"
"x12_36","IFG_orbitalis_L -- STG_L_pole",-0.0010594707371952181,"101","101"
"x52_80","MOG_L -- GP_L",-0.001054218390451134,"101","101"
"x76_82","Caud_L -- Thal_L",-0.0010367711144536455,"101","101"
"x28_54","SMG_L -- IOG_L",-0.0010314766166078417,"101","101"
"x6_66","MFG_L -- dorsal_ACC_L",-0.0010272677480855175,"101","101"
"x24_30","PrCG_L -- AG_L",-0.0010075546981381008,"101","101"
"x10_181","IFG_opercularis_L -- PIns_L",-0.0009905721347548608,"101","101"
"x68_181","PCC_L -- PIns_L",-0.0009638070689169297,"101","101"
"x24_185","PrCG_L -- PSMG_L",-0.0009538125891703426,"101","101"
"x38_70","MTG_L -- Ins_L",-0.0009362394657250468,"101","101"
"x14_185","IFG_triangularis_L -- PSMG_L",-0.0009324765010713561,"101","101"
"x8_20","MFG_DPFC_L -- RG_L",-0.00092705351095665,"101","101"
"x24_54","PrCG_L -- IOG_L",-0.0009126845360419014,"101","101"
"x0_30","SFG_L -- AG_L",-0.0009111156036467982,"101","101"
"x16_40","LFOG_L -- MTG_L_pole",-0.0008725552717755223,"101","101"
"x18_70","MFOG_L -- Ins_L",-0.0008555416569499911,"101","101"
"x20_78","RG_L -- Put_L",-0.000846189828084841,"101","101"
"x10_34","IFG_opercularis_L -- STG_L",-0.0008321472738729213,"101","101"
"x181_185","PIns_L -- PSMG_L",-0.0008155872578218766,"101","101"
"x8_34","MFG_DPFC_L -- STG_L",-0.0008064443470076482,"101","101"
"x14_36","IFG_triangularis_L -- STG_L_pole",-0.0007867579887587791,"101","101"
"x80_183","GP_L -- PSTG_L",-0.0007647758133992498,"101","101"
"x26_70","SPG_L -- Ins_L",-0.0007629594414401553,"101","101"
"x6_30","MFG_L -- AG_L",-0.0007619183785426183,"101","101"
"x12_20","IFG_orbitalis_L -- RG_L",-0.0007402606557737661,"101","101"
"x12_68","IFG_orbitalis_L -- PCC_L",-0.0007340356463495374,"101","101"
"x18_80","MFOG_L -- GP_L",-0.0007316392012462137,"101","101"
"x44_183","PHG_L -- PSTG_L",-0.0007207674214156572,"101","101"
"x32_40","PrCu_L -- MTG_L_pole",-0.0006932566043928462,"101","101"
"x40_46","MTG_L_pole -- ENT_L",-0.0006925996329068749,"101","101"
"x72_183","Amyg_L -- PSTG_L",-0.0006833854390649588,"101","101"
"x0_56","SFG_L -- Cu_L",-0.0006804951299697097,"101","101"
"x48_183","FuG_L -- PSTG_L",-0.0006738434215485205,"101","101"
"x32_36","PrCu_L -- STG_L_pole",-0.0006717882422602747,"101","101"
"x36_76","STG_L_pole -- Caud_L",-0.0006672705638850063,"101","101"
"x8_42","MFG_DPFC_L -- ITG_L",-0.0006430088146608689,"101","101"
"x24_42","PrCG_L -- ITG_L",-0.0006401294756884561,"101","101"
"x38_183","MTG_L -- PSTG_L",-0.0006392003980732488,"101","101"
"x4_70","SFG_pole_L -- Ins_L",-0.0006302852074921124,"101","101"
"x6_34","MFG_L -- STG_L",-0.0006261750248683704,"101","101"
"x28_68","SMG_L -- PCC_L",-0.0006221793734326901,"101","101"
"x16_72","LFOG_L -- Amyg_L",-0.0006124707443734347,"101","101"
"x34_66","STG_L -- dorsal_ACC_L",-0.0006102331150882348,"101","101"
"x6_181","MFG_L -- PIns_L",-0.0005977836187163073,"101","101"
"x20_26","RG_L -- SPG_L",-0.0005821554875387114,"101","101"
"x38_76","MTG_L -- Caud_L",-0.0005621912608717314,"101","101"
"x42_66","ITG_L -- dorsal_ACC_L",-0.0005567250342561079,"101","101"
"x52_181","MOG_L -- PIns_L",-0.0005269791863029502,"101","101"
"x2_181","SFG_PFC_L -- PIns_L",-0.0005252058171463048,"101","101"
"x14_50","IFG_triangularis_L -- SOG_L",-0.0005237480720536199,"101","101"
"x22_185","PoCG_L -- PSMG_L",-0.0005164254771967481,"101","101"
"x74_76","Hippo_L -- Caud_L",-0.0005109806848635131,"101","101"
"x40_70","MTG_L_pole -- Ins_L",-0.0005105130605894491,"101","101"
"x36_78","STG_L_pole -- Put_L",-0.0005104090165164761,"101","101"
"x76_181","Caud_L -- PIns_L",-0.0005012014543192922,"101","101"
"x20_70","RG_L -- Ins_L",-0.0004931066929221735,"101","101"
"x2_26","SFG_PFC_L -- SPG_L",-0.00047743600856403823,"101","101"
"x4_12","SFG_pole_L -- IFG_orbitalis_L",-0.00045585918376773744,"101","101"
"x50_70","SOG_L -- Ins_L",-0.0004489200867482739,"101","101"
