,abs_coef_mean,abs_coef_med,coef_mean,coef_med,coef_std,name,rank_mean,rank_med,rank_std,roi
121,2.502145058e-05,3.37488500539e-05,2.502145058e-05,3.37488500539e-05,0.000516660909525,PCR_R,8695.07446809,8418.5,4937.80944463,121
5,1.6838520156e-05,3.30979663315e-05,1.6838520156e-05,3.30979663315e-05,0.000485582936057,SFG_pole_R,8705.63297872,8239.5,5127.49029361,5
72,6.83739918676e-05,3.29291058669e-05,-6.83739918676e-05,-3.29291058669e-05,0.000492002326687,Amyg_L,9198.43085106,9365.5,5071.89863003,72
168,3.62020920339e-05,3.24074320778e-05,-3.62020920339e-05,-3.24074320778e-05,0.000479576999654,OpticTract_L,9051.05319149,8709.0,5128.7119912,168
84,6.99892004735e-05,3.22169396762e-05,6.99892004735e-05,3.22169396762e-05,0.000525604896368,Hypothalamus_L,8680.59574468,8061.5,5229.26883099,84
63,1.25692407708e-05,3.19711652051e-05,1.25692407708e-05,3.19711652051e-05,0.000503040315156,subcallosal_ACC_R,8943.4787234,9206.5,5088.5965089,63
147,4.61573936083e-05,3.17909640742e-05,-4.61573936083e-05,-3.17909640742e-05,0.000424363205003,IFO_R,9747.11702128,10207.5,5162.87234473,147
146,5.86787757054e-05,3.15584221509e-05,-5.86787757054e-05,-3.15584221509e-05,0.000509775993596,IFO_L,8472.62765957,8304.5,5106.01017051,146
181,2.89885761198e-05,3.14802909505e-05,2.89885761198e-05,3.14802909505e-05,0.000522133922226,PIns_L,8512.28723404,8940.5,5007.84824077,181
3,2.60553166133e-05,3.10503438905e-05,2.60553166133e-05,3.10503438905e-05,0.000512451147513,SFG_PFC_R,8238.55319149,7976.0,4989.51560907,3
48,3.95033314255e-05,3.05719487356e-05,-3.95033314255e-05,-3.05719487356e-05,0.000460053558328,FuG_L,9358.07446809,9547.0,4965.69227511,48
145,1.48165078271e-05,2.95297746238e-05,-1.48165078271e-05,2.95297746238e-05,0.000485590776117,Fx_R,9366.73404255,9997.5,5275.81170658,145
130,4.1615150713e-06,2.89660612252e-05,4.1615150713e-06,2.89660612252e-05,0.000538441264764,ALIC_L,8069.79255319,7403.0,5183.19958427,130
160,3.50524513216e-05,2.89121245174e-05,-3.50524513216e-05,-2.89121245174e-05,0.000486127186355,AnteriorCom_L,8759.12234043,8274.5,5028.61246893,160
110,4.08557077564e-05,2.83023081969e-05,-4.08557077564e-05,-2.83023081969e-05,0.000474871570448,ML_L,8875.36702128,8570.0,5137.20531156,110
10,2.5008728923e-05,2.81269339412e-05,2.5008728923e-05,2.81269339412e-05,0.000483413586242,IFG_opercularis_L,9309.57978723,9905.0,5257.02020595,10
148,2.70620853099e-05,2.80045303613e-05,-2.70620853099e-05,-2.80045303613e-05,0.000491650122864,PTR_L,9301.30319149,9503.5,5105.12882062,148
114,9.46672176321e-06,2.77893144243e-05,9.46672176321e-06,2.77893144243e-05,0.000539224634712,Medulla_L,8706.42021277,8638.0,5115.4228688,114
42,6.60669407351e-06,2.77237102696e-05,6.60669407351e-06,2.77237102696e-05,0.00049557094392,ITG_L,9063.22340426,9139.0,4933.94931723,42
171,7.1742865104e-05,2.75916870253e-05,-7.1742865104e-05,-2.75916870253e-05,0.000496936531556,LV_body_L,8798.53191489,8850.0,5016.82864818,171
20,3.16363634393e-05,2.67150532599e-05,3.16363634393e-05,2.67150532599e-05,0.000548732059721,RG_L,8846.10638298,9569.5,5178.77770732,20
33,1.49987658247e-05,2.66274997033e-05,1.49987658247e-05,2.66274997033e-05,0.000495767328786,PrCu_R,9066.46276596,9245.5,5179.39603229,33
